Date,AUD
09-09-2022,0.6842
08-09-2022,0.6751
07-09-2022,0.6769
06-09-2022,0.6735
05-09-2022,0.6797
02-09-2022,0.6812
01-09-2022,0.6788
31-08-2022,0.6842
30-08-2022,0.6854
29-08-2022,0.6903
26-08-2022,0.6897
25-08-2022,0.6981
24-08-2022,0.6909
23-08-2022,0.6931
22-08-2022,0.6877
19-08-2022,0.6875
18-08-2022,0.6917
17-08-2022,0.6934
16-08-2022,0.7022
15-08-2022,0.7023
12-08-2022,0.7121
11-08-2022,0.7106
10-08-2022,0.7089
09-08-2022,0.6966
08-08-2022,0.6988
05-08-2022,0.6911
04-08-2022,0.6971
03-08-2022,0.6948
02-08-2022,0.692
01-08-2022,0.7023
29-07-2022,0.6985
28-07-2022,0.6989
27-07-2022,0.6992
26-07-2022,0.6939
25-07-2022,0.6955
22-07-2022,0.6929
21-07-2022,0.6934
20-07-2022,0.6888
19-07-2022,0.6897
18-07-2022,0.6812
15-07-2022,0.6793
14-07-2022,0.675
13-07-2022,0.676
12-07-2022,0.6758
11-07-2022,0.6734
08-07-2022,0.6857
07-07-2022,0.6838
06-07-2022,0.6779
05-07-2022,0.6802
04-07-2022,0.6865
01-07-2022,0.6814
30-06-2022,0.6903
29-06-2022,0.688
28-06-2022,0.6908
27-06-2022,0.6926
24-06-2022,0.6945
23-06-2022,0.6897
22-06-2022,0.6927
21-06-2022,0.6971
20-06-2022,0.6951
17-06-2022,0.6932
16-06-2022,0.7047
15-06-2022,0.7003
14-06-2022,0.6871
13-06-2022,0.6923
10-06-2022,0.7058
09-06-2022,0.7098
08-06-2022,0.7194
07-06-2022,0.7232
06-06-2022,0.7193
03-06-2022,0.7207
02-06-2022,0.7265
01-06-2022,0.7175
31-05-2022,0.7177
30-05-2022,0.7196
27-05-2022,0.7162
26-05-2022,0.7098
25-05-2022,0.7091
24-05-2022,0.7106
23-05-2022,0.7109
20-05-2022,0.704
19-05-2022,0.7049
18-05-2022,0.6955
17-05-2022,0.7029
16-05-2022,0.6971
13-05-2022,0.694
12-05-2022,0.6856
11-05-2022,0.6938
10-05-2022,0.6938
09-05-2022,0.6952
06-05-2022,0.7076
05-05-2022,0.7112
04-05-2022,0.726
03-05-2022,0.7096
02-05-2022,0.705
29-04-2022,0.7061
28-04-2022,0.7097
27-04-2022,0.7126
