Date,Barclays Global Aggregate Bond Index
08-09-2022,442.6036
07-09-2022,443.4599
06-09-2022,442.7942
05-09-2022,445.9945
02-09-2022,447.8703
01-09-2022,445.4849
31-08-2022,449.6171
30-08-2022,449.89
29-08-2022,451.4003
26-08-2022,453.6138
25-08-2022,454.2985
24-08-2022,452.7305
23-08-2022,454.184
22-08-2022,454.1108
19-08-2022,456.9952
18-08-2022,461.8438
17-08-2022,462.1164
16-08-2022,465.1255
15-08-2022,466.79
12-08-2022,465.9465
11-08-2022,467.2407
10-08-2022,469.2578
09-08-2022,465.4268
08-08-2022,466.3329
05-08-2022,464.016
04-08-2022,468.8103
03-08-2022,466.2057
02-08-2022,468.0509
01-08-2022,471.4708
29-07-2022,468.0885
28-07-2022,466.4023
27-07-2022,461.9295
26-07-2022,461.9589
25-07-2022,462.1802
22-07-2022,462.7664
21-07-2022,458.1495
20-07-2022,456.1915
19-07-2022,456.6603
18-07-2022,456.9458
15-07-2022,455.7091
14-07-2022,453.3118
13-07-2022,457.0978
12-07-2022,455.9666
11-07-2022,454.8598
08-07-2022,455.2944
07-07-2022,456.3169
06-07-2022,457.608
05-07-2022,458.9856
04-07-2022,459.6232
01-07-2022,460.4431
30-06-2022,458.3446
29-06-2022,456.3437
28-06-2022,454.9949
27-06-2022,457.1295
24-06-2022,458.2262
23-06-2022,458.6762
22-06-2022,456.2471
21-06-2022,452.9056
20-06-2022,454.121
17-06-2022,453.6435
16-06-2022,455.0716
15-06-2022,452.6948
14-06-2022,449.5534
13-06-2022,452.7848
10-06-2022,459.9209
09-06-2022,464.5085
08-06-2022,466.7871
07-06-2022,468.4076
06-06-2022,468.339
03-06-2022,470.5493
02-06-2022,471.1731
01-06-2022,470.8893
31-05-2022,473.5394
30-05-2022,476.7996
27-05-2022,476.4501
26-05-2022,475.4129
25-05-2022,475.7175
24-05-2022,475.7261
23-05-2022,472.7711
20-05-2022,472.3058
19-05-2022,471.7416
18-05-2022,469.5778
17-05-2022,468.4481
16-05-2022,468.5391
13-05-2022,467.6844
12-05-2022,469.5897
11-05-2022,468.9915
10-05-2022,467.7695
09-05-2022,466.1936
06-05-2022,466.2955
05-05-2022,468.4534
04-05-2022,471.1247
03-05-2022,470.3652
02-05-2022,469.7271
29-04-2022,472.2504
28-04-2022,472.302
27-04-2022,475.121
26-04-2022,478.4777
25-04-2022,477.5059
22-04-2022,476.8646
21-04-2022,479.3854
20-04-2022,481.9728
19-04-2022,478.9586
18-04-2022,482.1889
15-04-2022,483.4557
14-04-2022,483.4566
13-04-2022,486.2088
12-04-2022,486.3068
11-04-2022,485.5268
08-04-2022,487.9714
07-04-2022,490.1194
06-04-2022,491.0825
05-04-2022,493.2353
04-04-2022,497.151
01-04-2022,496.7495
31-03-2022,499.6239
30-03-2022,498.5417
29-03-2022,496.2107
28-03-2022,493.6653
25-03-2022,494.8202
24-03-2022,497.0697
23-03-2022,498.6054
22-03-2022,497.5722
21-03-2022,500.3058
18-03-2022,503.0012
17-03-2022,503.0519
16-03-2022,500.8681
15-03-2022,500.2873
14-03-2022,500.5434
11-03-2022,504.4521
10-03-2022,505.9301
09-03-2022,508.236
08-03-2022,507.8588
07-03-2022,511.22
04-03-2022,514.0915
03-03-2022,513.563
02-03-2022,513.3635
01-03-2022,518.1627
28-02-2022,515.3167
25-02-2022,513.0395
24-02-2022,511.0814
23-02-2022,514.4588
22-02-2022,515.4697
21-02-2022,516.3109
18-02-2022,516.3191
17-02-2022,515.955
16-02-2022,514.7358
15-02-2022,513.4765
14-02-2022,513.7693
11-02-2022,516.3244
10-02-2022,516.1411
09-02-2022,518.7161
08-02-2022,517.5876
07-02-2022,519.5252
04-02-2022,519.7704
03-02-2022,522.5528
02-02-2022,523.552
01-02-2022,522.0745
31-01-2022,521.5153
28-01-2022,521.6466
27-01-2022,521.5173
26-01-2022,524.0277
25-01-2022,525.6297
24-01-2022,526.3927
21-01-2022,527.3968
20-01-2022,526.3355
19-01-2022,525.2652
18-01-2022,524.6096
17-01-2022,527.0524
14-01-2022,528.423
13-01-2022,530.5009
12-01-2022,528.619
11-01-2022,526.4258
10-01-2022,525.8972
07-01-2022,526.1801
06-01-2022,526.2224
05-01-2022,528.1506
04-01-2022,528.3537
