Date,Bloomberg Barclays Emerging Markets USD Aggregate
08-09-2022,1059.489
07-09-2022,1058.886
06-09-2022,1056.099
02-09-2022,1060.743
01-09-2022,1058.38
31-08-2022,1066.051
30-08-2022,1069.07
29-08-2022,1071.154
26-08-2022,1076.502
25-08-2022,1076.775
24-08-2022,1072.175
23-08-2022,1070.457
22-08-2022,1068.917
19-08-2022,1075.137
18-08-2022,1081.182
17-08-2022,1081.015
16-08-2022,1087.279
15-08-2022,1087.975
12-08-2022,1087.209
11-08-2022,1086.545
10-08-2022,1083.854
09-08-2022,1079.271
08-08-2022,1080.974
05-08-2022,1075.801
04-08-2022,1080.113
03-08-2022,1075.213
02-08-2022,1073.351
01-08-2022,1077.774
29-07-2022,1071.828
28-07-2022,1065.199
27-07-2022,1055.73
26-07-2022,1053.451
25-07-2022,1053.825
22-07-2022,1052.011
21-07-2022,1044.913
20-07-2022,1039.809
19-07-2022,1035.41
18-07-2022,1034.433
15-07-2022,1033.107
14-07-2022,1032.435
13-07-2022,1037.915
12-07-2022,1041.256
11-07-2022,1045.796
08-07-2022,1046.567
07-07-2022,1049.09
06-07-2022,1051.03
05-07-2022,1054.573
01-07-2022,1055.813
30-06-2022,1049.728
29-06-2022,1050.586
28-06-2022,1051.727
27-06-2022,1056.056
24-06-2022,1058.067
23-06-2022,1059.464
22-06-2022,1057.179
21-06-2022,1055.041
17-06-2022,1056.439
16-06-2022,1057.879
15-06-2022,1060.06
14-06-2022,1052.498
13-06-2022,1058.572
10-06-2022,1077.944
09-06-2022,1086.35
08-06-2022,1090.234
07-06-2022,1093.321
06-06-2022,1092.746
03-06-2022,1097.008
02-06-2022,1098.114
01-06-2022,1097.482
31-05-2022,1100.03
27-05-2022,1101.736
26-05-2022,1098.488
25-05-2022,1093.565
24-05-2022,1088.34
23-05-2022,1084.21
20-05-2022,1083.077
19-05-2022,1080.024
18-05-2022,1081.209
17-05-2022,1080.102
16-05-2022,1082.669
13-05-2022,1082.367
12-05-2022,1083.317
11-05-2022,1085.164
10-05-2022,1081.649
09-05-2022,1082.344
06-05-2022,1086.26
05-05-2022,1093.525
