Date,Bloomberg Barclays Euro Aggregate Corporate
08-09-2022,231.6248
07-09-2022,232.8666
06-09-2022,232.5134
05-09-2022,232.6453
02-09-2022,233.4661
01-09-2022,232.2506
31-08-2022,232.9428
30-08-2022,233.809
26-08-2022,235.8548
25-08-2022,236.7262
24-08-2022,235.9524
23-08-2022,236.3661
22-08-2022,236.7643
19-08-2022,238.1077
18-08-2022,239.8389
17-08-2022,240.2705
16-08-2022,242.1505
15-08-2022,243.0241
12-08-2022,241.9
11-08-2022,242.0459
10-08-2022,242.6686
09-08-2022,242.0489
08-08-2022,242.4946
05-08-2022,241.9163
04-08-2022,243.4235
03-08-2022,242.6185
02-08-2022,243.5729
01-08-2022,243.8739
29-07-2022,243.2287
28-07-2022,243.1461
27-07-2022,241.2733
26-07-2022,241.4236
25-07-2022,240.8677
22-07-2022,240.1302
21-07-2022,237.537
20-07-2022,236.9852
19-07-2022,235.8459
18-07-2022,236.5288
15-07-2022,237.1852
14-07-2022,236.5223
13-07-2022,237.0922
12-07-2022,237.8577
11-07-2022,236.6669
08-07-2022,235.4018
07-07-2022,234.9469
06-07-2022,235.6739
05-07-2022,234.9132
04-07-2022,232.8953
01-07-2022,234.248
30-06-2022,232.309
29-06-2022,231.6335
28-06-2022,230.8013
27-06-2022,231.979
24-06-2022,232.9967
23-06-2022,233.1244
22-06-2022,231.0105
21-06-2022,229.7894
20-06-2022,229.8344
17-06-2022,230.3874
16-06-2022,230.2179
15-06-2022,231.6168
14-06-2022,230.5596
13-06-2022,232.1715
10-06-2022,235.2285
09-06-2022,236.8981
08-06-2022,238.378
07-06-2022,239.0938
06-06-2022,238.6998
01-06-2022,240.2393
31-05-2022,240.6995
30-05-2022,241.5085
27-05-2022,242.0091
26-05-2022,241.4879
25-05-2022,241.6471
24-05-2022,241.6732
23-05-2022,241.2277
20-05-2022,241.9023
19-05-2022,241.7168
18-05-2022,241.7827
17-05-2022,241.6882
16-05-2022,242.6109
13-05-2022,242.3915
12-05-2022,242.7659
11-05-2022,241.5301
10-05-2022,241.3944
09-05-2022,240.4726
06-05-2022,240.5767
05-05-2022,242.542
04-05-2022,242.8767
03-05-2022,243.5228
02-05-2022,243.6383
29-04-2022,243.6972
28-04-2022,244.2157
27-04-2022,245.2235
26-04-2022,245.788
25-04-2022,245.5446
22-04-2022,244.7928
21-04-2022,245.6826
20-04-2022,246.6949
19-04-2022,246.3854
14-04-2022,247.1942
13-04-2022,247.7179
12-04-2022,247.5386
11-04-2022,247.2899
08-04-2022,248.5362
07-04-2022,248.85
06-04-2022,249.3553
05-04-2022,249.7269
04-04-2022,250.8728
01-04-2022,250.3029
31-03-2022,250.5653
30-03-2022,249.3336
29-03-2022,249.5124
28-03-2022,249.5483
25-03-2022,249.6937
24-03-2022,250.0742
23-03-2022,250.4785
22-03-2022,250.0907
21-03-2022,250.7971
18-03-2022,251.3468
17-03-2022,250.8302
16-03-2022,250.5467
15-03-2022,250.9008
