Date,Bloomberg Barclays Euro Government Inflation-Linked Bond All Maturities
09-09-2022,230.4601
08-09-2022,231.5027
07-09-2022,232.7108
06-09-2022,232.3147
05-09-2022,232.8814
02-09-2022,232.8664
01-09-2022,232.7097
31-08-2022,234.4297
30-08-2022,236.7751
29-08-2022,237.9729
26-08-2022,240.1468
25-08-2022,241.7534
24-08-2022,240.2597
23-08-2022,242.015
22-08-2022,243.7115
19-08-2022,243.6872
18-08-2022,245.6618
17-08-2022,244.4446
16-08-2022,245.5241
15-08-2022,246.6243
12-08-2022,245.4254
11-08-2022,245.8485
10-08-2022,246.3608
09-08-2022,245.9001
08-08-2022,246.5089
05-08-2022,245.8106
04-08-2022,246.977
03-08-2022,245.7264
02-08-2022,245.7723
01-08-2022,246.3581
29-07-2022,245.004
28-07-2022,243.3697
27-07-2022,240.5583
26-07-2022,240.2035
25-07-2022,237.9414
22-07-2022,237.3174
21-07-2022,234.8294
20-07-2022,235.4769
19-07-2022,235.9397
18-07-2022,236.4184
15-07-2022,237.2922
14-07-2022,236.3869
13-07-2022,237.136
12-07-2022,237.2334
11-07-2022,235.0793
08-07-2022,233.8489
07-07-2022,234.4735
06-07-2022,235.5243
05-07-2022,236.4736
04-07-2022,233.893
01-07-2022,235.1431
30-06-2022,232.3876
29-06-2022,232.3301
28-06-2022,230.4134
27-06-2022,232.2816
24-06-2022,232.9373
23-06-2022,232.2662
22-06-2022,229.7983
21-06-2022,226.9976
20-06-2022,226.6696
17-06-2022,227.8958
16-06-2022,228.0471
15-06-2022,228.6579
14-06-2022,226.408
13-06-2022,229.3581
10-06-2022,234.0719
09-06-2022,236.6658
08-06-2022,239.0797
07-06-2022,239.5115
06-06-2022,237.738
03-06-2022,238.1736
02-06-2022,238.8841
01-06-2022,239.07
31-05-2022,239.6784
30-05-2022,240.6161
27-05-2022,240.9755
26-05-2022,240.445
25-05-2022,240.9808
24-05-2022,241.3921
23-05-2022,241.6602
20-05-2022,243.1955
19-05-2022,244.5047
18-05-2022,244.2396
17-05-2022,243.9872
16-05-2022,244.6857
13-05-2022,243.1381
12-05-2022,243.8867
11-05-2022,242.2351
10-05-2022,241.1216
09-05-2022,241.2636
06-05-2022,241.8199
05-05-2022,245.8136
04-05-2022,246.8856
03-05-2022,248.231
02-05-2022,248.6607
29-04-2022,249.1969
28-04-2022,248.737
27-04-2022,248.5494
26-04-2022,248.1154
25-04-2022,248.0642
22-04-2022,248.1257
21-04-2022,249.2118
20-04-2022,250.2001
19-04-2022,248.9375
18-04-2022,249.6801
15-04-2022,249.6801
14-04-2022,249.6801
13-04-2022,251.0119
12-04-2022,250.1742
11-04-2022,249.1143
08-04-2022,250.3211
07-04-2022,250.0226
06-04-2022,250.4415
05-04-2022,250.7304
04-04-2022,252.1371
01-04-2022,250.4891
31-03-2022,251.2985
30-03-2022,250.6168
29-03-2022,249.9614
28-03-2022,250.5638
25-03-2022,250.6517
24-03-2022,251.4548
23-03-2022,251.1182
22-03-2022,249.2397
21-03-2022,248.9006
18-03-2022,249.7994
17-03-2022,249.0181
16-03-2022,248.4593
15-03-2022,249.954
14-03-2022,250.9455
11-03-2022,252.1565
10-03-2022,250.0792
09-03-2022,254.5492
08-03-2022,259.6775
07-03-2022,260.0318
04-03-2022,256.8536
03-03-2022,253.0058
02-03-2022,252.9839
01-03-2022,252.9722
28-02-2022,246.0207
25-02-2022,243.9678
24-02-2022,245.7827
23-02-2022,242.1607
22-02-2022,240.7886
21-02-2022,240.5637
18-02-2022,240.8784
17-02-2022,240.4626
16-02-2022,239.5921
15-02-2022,238.5675
14-02-2022,239.5458
11-02-2022,239.0905
10-02-2022,239.089
09-02-2022,240.4707
08-02-2022,239.5147
07-02-2022,240.0184
04-02-2022,241.0412
03-02-2022,242.2893
02-02-2022,245.6138
01-02-2022,245.654
31-01-2022,246.4727
28-01-2022,245.7882
27-01-2022,245.2958
26-01-2022,244.5683
25-01-2022,245.1558
24-01-2022,244.9191
21-01-2022,244.7254
20-01-2022,244.8393
19-01-2022,244.4446
18-01-2022,244.8711
17-01-2022,244.9874
14-01-2022,245.3765
13-01-2022,245.8701
12-01-2022,245.745
11-01-2022,244.9076
10-01-2022,245.0807
07-01-2022,244.8409
06-01-2022,244.9599
05-01-2022,246.9363
04-01-2022,247.6464
03-01-2022,246.6935
31-12-2021,247.3819
30-12-2021,247.3394
29-12-2021,247.0626
28-12-2021,248.4042
27-12-2021,248.2004
24-12-2021,248.6946
23-12-2021,248.6243
22-12-2021,249.6556
21-12-2021,248.4809
20-12-2021,249.0296
17-12-2021,249.3034
16-12-2021,248.6721
15-12-2021,248.5724
14-12-2021,248.7101
13-12-2021,249.3794
10-12-2021,248.3858
09-12-2021,248.0615
08-12-2021,247.252
07-12-2021,248.857
06-12-2021,248.2495
03-12-2021,248.0179
02-12-2021,247.2398
01-12-2021,246.6873
30-11-2021,247.0262
29-11-2021,246.2702
26-11-2021,245.4726
25-11-2021,245.5042
24-11-2021,243.9061
23-11-2021,244.8572
22-11-2021,246.9935
19-11-2021,248.4073
18-11-2021,248.58
17-11-2021,248.72
16-11-2021,248.7093
15-11-2021,248.1447
12-11-2021,248.2118
11-11-2021,248.3026
10-11-2021,248.4581
09-11-2021,249.2437
08-11-2021,248.5852
05-11-2021,247.8181
04-11-2021,245.7366
03-11-2021,244.0451
02-11-2021,244.657
01-11-2021,243.4974
29-10-2021,243.2383
28-10-2021,247.5841
27-10-2021,249.6267
26-10-2021,249.0583
25-10-2021,248.49
22-10-2021,247.6105
21-10-2021,246.6056
20-10-2021,245.5767
19-10-2021,245.5991
18-10-2021,246.5778
15-10-2021,246.0665
14-10-2021,245.5304
13-10-2021,244.6908
12-10-2021,244.18
11-10-2021,243.9861
08-10-2021,244.2254
07-10-2021,244.4265
06-10-2021,244.5338
05-10-2021,245.6164
04-10-2021,244.4581
01-10-2021,244.2816
30-09-2021,243.2968
29-09-2021,243.8715
28-09-2021,243.8992
27-09-2021,243.6943
24-09-2021,242.9759
23-09-2021,243.8784
22-09-2021,244.4729
21-09-2021,244.1745
20-09-2021,243.7885
17-09-2021,244.0341
16-09-2021,244.1736
15-09-2021,244.2594
14-09-2021,244.6835
13-09-2021,245.3251
10-09-2021,244.9114
09-09-2021,244.9748
08-09-2021,243.6903
07-09-2021,243.345
06-09-2021,244.4994
03-09-2021,243.2417
02-09-2021,242.9448
01-09-2021,242.1377
31-08-2021,242.4005
30-08-2021,243.5731
27-08-2021,243.0236
26-08-2021,242.6975
25-08-2021,243.0917
24-08-2021,244.1535
23-08-2021,243.8255
20-08-2021,243.8854
19-08-2021,243.8839
18-08-2021,244.2142
17-08-2021,244.0181
16-08-2021,244.008
13-08-2021,244.2684
12-08-2021,244.2762
11-08-2021,243.5949
10-08-2021,243.6243
09-08-2021,242.8851
06-08-2021,243.0147
05-08-2021,243.699
04-08-2021,243.3568
03-08-2021,243.4833
02-08-2021,243.4605
30-07-2021,243.094
29-07-2021,242.7462
28-07-2021,241.7136
27-07-2021,241.4381
26-07-2021,240.7434
23-07-2021,240.3493
22-07-2021,239.8796
21-07-2021,239.4385
20-07-2021,239.2057
19-07-2021,238.8284
16-07-2021,239.1243
15-07-2021,238.5869
14-07-2021,238.3496
13-07-2021,238.1386
12-07-2021,237.7271
09-07-2021,237.7234
08-07-2021,237.5455
07-07-2021,238.2084
06-07-2021,238.3341
05-07-2021,237.2132
02-07-2021,237.3551
01-07-2021,236.7134
30-06-2021,236.4694
29-06-2021,235.8798
28-06-2021,235.484
25-06-2021,234.9068
24-06-2021,235.6509
23-06-2021,235.339
22-06-2021,235.1971
21-06-2021,234.7404
18-06-2021,235.0193
17-06-2021,235.8776
16-06-2021,237.2248
15-06-2021,237.3496
14-06-2021,237.6653
11-06-2021,238.0568
10-06-2021,237.2098
09-06-2021,237.1824
08-06-2021,236.5205
07-06-2021,236.49
04-06-2021,236.7627
03-06-2021,236.1136
02-06-2021,235.6148
01-06-2021,235.9813
31-05-2021,235.8517
28-05-2021,235.5661
27-05-2021,234.6015
26-05-2021,235.1438
25-05-2021,234.9905
24-05-2021,234.1511
21-05-2021,233.6936
20-05-2021,233.135
19-05-2021,233.3274
