Date,Bloomberg Barclays Global Treasury USD Hedged
08-09-2022,637.7003
07-09-2022,639.6988
06-09-2022,638.5274
05-09-2022,640.8696
02-09-2022,640.971
01-09-2022,639.4039
31-08-2022,642.0591
30-08-2022,643.2641
29-08-2022,644.653
26-08-2022,645.7325
25-08-2022,646.38
24-08-2022,644.9363
23-08-2022,646.532
22-08-2022,647.6914
19-08-2022,649.8075
18-08-2022,652.9599
17-08-2022,652.8139
16-08-2022,655.528
15-08-2022,656.6258
12-08-2022,654.4572
11-08-2022,654.5937
10-08-2022,657.466
09-08-2022,656.8284
08-08-2022,657.7834
05-08-2022,656.1592
04-08-2022,660.0777
03-08-2022,658.3549
02-08-2022,658.7498
01-08-2022,660.7558
29-07-2022,658.3979
28-07-2022,657.2673
27-07-2022,654.0497
26-07-2022,653.8682
25-07-2022,652.7132
22-07-2022,652.8067
21-07-2022,648.3983
20-07-2022,645.7717
19-07-2022,645.8517
18-07-2022,647.3816
15-07-2022,648.7642
14-07-2022,647.5217
13-07-2022,648.9816
12-07-2022,648.4295
11-07-2022,646.2705
08-07-2022,644.3504
07-07-2022,646.1572
06-07-2022,648.0847
05-07-2022,649.0078
04-07-2022,646.349
01-07-2022,648.4136
30-06-2022,644.2289
29-06-2022,641.4377
28-06-2022,638.226
27-06-2022,639.3365
24-06-2022,641.9077
23-06-2022,642.6437
22-06-2022,638.7271
21-06-2022,634.2022
20-06-2022,635.8348
17-06-2022,637.2549
16-06-2022,636.5394
15-06-2022,635.8455
14-06-2022,632.6555
13-06-2022,635.6001
10-06-2022,641.3042
09-06-2022,644.2063
08-06-2022,645.8199
07-06-2022,647.2045
06-06-2022,645.9596
03-06-2022,649.7875
02-06-2022,649.8311
01-06-2022,650.0295
31-05-2022,651.502
30-05-2022,654.7532
27-05-2022,655.9451
26-05-2022,655.2116
25-05-2022,656.5471
24-05-2022,655.9038
23-05-2022,653.3215
20-05-2022,655.0831
19-05-2022,654.5883
18-05-2022,653.338
17-05-2022,651.8101
16-05-2022,654.9055
13-05-2022,654.3157
12-05-2022,656.1936
11-05-2022,653.2644
10-05-2022,651.9902
09-05-2022,649.9234
06-05-2022,648.4148
05-05-2022,651.302
04-05-2022,653.4357
03-05-2022,653.3324
02-05-2022,653.1626
29-04-2022,655.0064
28-04-2022,656.7507
27-04-2022,658.3123
26-04-2022,659.311
25-04-2022,657.4326
22-04-2022,654.8554
21-04-2022,655.5038
20-04-2022,657.2293
19-04-2022,655.312
18-04-2022,657.8325
15-04-2022,658.5475
14-04-2022,658.5704
13-04-2022,660.8494
12-04-2022,660.0206
11-04-2022,659.1272
08-04-2022,661.6695
07-04-2022,662.7346
06-04-2022,663.2162
05-04-2022,665.153
04-04-2022,669.2288
01-04-2022,668.5726
31-03-2022,669.8304
30-03-2022,667.879
29-03-2022,666.8216
28-03-2022,667.479
25-03-2022,667.5161
24-03-2022,669.8458
23-03-2022,670.8121
22-03-2022,669.3279
21-03-2022,671.7996
18-03-2022,675.3576
17-03-2022,674.0891
16-03-2022,674.2525
15-03-2022,674.8353
14-03-2022,674.8668
11-03-2022,678.3389
10-03-2022,678.3526
09-03-2022,681.0207
08-03-2022,683.5589
07-03-2022,687.6434
04-03-2022,689.0943
03-03-2022,685.9423
02-03-2022,686.2973
01-03-2022,690.0145
28-02-2022,684.2199
25-02-2022,681.1785
24-02-2022,682.3209
23-02-2022,681.1094
22-02-2022,681.8529
21-02-2022,682.2716
18-02-2022,682.485
17-02-2022,680.9786
16-02-2022,679.7863
15-02-2022,678.7284
14-02-2022,679.9245
11-02-2022,681.1998
10-02-2022,680.2736
09-02-2022,683.8295
08-02-2022,682.6165
07-02-2022,684.553
04-02-2022,685.5984
03-02-2022,688.3266
02-02-2022,691.2876
01-02-2022,690.4636
31-01-2022,691.2851
28-01-2022,692.6333
27-01-2022,692.6839
26-01-2022,692.2149
25-01-2022,694.2092
24-01-2022,694.9084
21-01-2022,694.5749
20-01-2022,692.7282
19-01-2022,691.8581
18-01-2022,691.7881
17-01-2022,693.2365
14-01-2022,693.9896
13-01-2022,696.1969
12-01-2022,694.8921
11-01-2022,694.0259
10-01-2022,693.896
07-01-2022,693.9647
06-01-2022,694.9981
05-01-2022,696.5625
04-01-2022,697.3289
03-01-2022,698.3967
31-12-2021,700.769
30-12-2021,700.3749
29-12-2021,699.9763
28-12-2021,701.9937
27-12-2021,701.9945
24-12-2021,701.7823
23-12-2021,701.6704
22-12-2021,703.3322
21-12-2021,703.547
20-12-2021,706.1099
17-12-2021,706.3428
16-12-2021,705.6416
15-12-2021,705.7464
14-12-2021,706.4133
13-12-2021,706.9868
10-12-2021,705.497
09-12-2021,705.2284
08-12-2021,704.4804
07-12-2021,706.3098
06-12-2021,707.1944
03-12-2021,707.2739
02-12-2021,706.0712
01-12-2021,705.5406
30-11-2021,705.737
29-11-2021,703.6895
26-11-2021,704.3186
25-11-2021,699.8964
24-11-2021,699.2002
23-11-2021,699.0779
22-11-2021,701.1487
19-11-2021,703.0671
18-11-2021,701.45
17-11-2021,700.3874
16-11-2021,700.1779
15-11-2021,700.5986
12-11-2021,701.52
11-11-2021,701.7614
10-11-2021,702.4052
09-11-2021,705.4539
08-11-2021,703.5758
05-11-2021,704.2428
04-11-2021,701.2907
03-11-2021,699.1903
02-11-2021,699.7316
01-11-2021,697.8753
29-10-2021,698.1486
28-10-2021,699.5725
27-10-2021,700.1905
26-10-2021,697.3648
25-10-2021,696.9536
22-10-2021,696.6111
21-10-2021,695.8009
20-10-2021,696.7454
19-10-2021,697.0757
18-10-2021,698.2177
15-10-2021,698.9792
14-10-2021,700.2898
13-10-2021,698.8653
12-10-2021,697.1087
11-10-2021,696.5735
08-10-2021,697.3397
07-10-2021,698.8604
06-10-2021,699.3585
05-10-2021,699.4959
04-10-2021,701.0476
01-10-2021,701.341
30-09-2021,700.1005
29-09-2021,700.7734
28-09-2021,700.1776
27-09-2021,701.8904
24-09-2021,702.6297
23-09-2021,704.3922
22-09-2021,707.2174
21-09-2021,706.9036
20-09-2021,706.6441
17-09-2021,705.1661
16-09-2021,706.3578
15-09-2021,707.2663
14-09-2021,707.9006
13-09-2021,706.9529
10-09-2021,706.7339
09-09-2021,707.6253
08-09-2021,706.1984
07-09-2021,705.787
06-09-2021,707.4366
03-09-2021,707.3104
02-09-2021,708.3614
01-09-2021,707.7743
31-08-2021,707.8038
30-08-2021,708.9261
27-08-2021,708.4786
26-08-2021,707.9172
25-08-2021,707.8844
24-08-2021,709.8995
23-08-2021,710.461
20-08-2021,710.9121
19-08-2021,710.7707
18-08-2021,710.1342
17-08-2021,709.9714
16-08-2021,709.8901
13-08-2021,709.3257
12-08-2021,708.3527
11-08-2021,708.3827
10-08-2021,708.7759
09-08-2021,709.0745
06-08-2021,708.9663
05-08-2021,711.4629
04-08-2021,711.3973
03-08-2021,711.4087
02-08-2021,710.8224
30-07-2021,709.5904
29-07-2021,708.9175
28-07-2021,709.1491
27-07-2021,709.087
26-07-2021,708.3476
23-07-2021,708.2184
22-07-2021,708.4348
21-07-2021,707.2079
20-07-2021,708.7591
19-07-2021,708.4094
16-07-2021,705.8762
15-07-2021,705.4393
14-07-2021,704.7861
13-07-2021,703.6703
12-07-2021,703.7135
09-07-2021,703.3148
08-07-2021,705.0903
07-07-2021,704.1855
06-07-2021,702.835
05-07-2021,700.7531
02-07-2021,700.9095
01-07-2021,699.7757
30-06-2021,699.6097
29-06-2021,698.7434
28-06-2021,698.6751
25-06-2021,697.4786
24-06-2021,698.948
23-06-2021,698.5531
22-06-2021,698.6919
21-06-2021,699.0571
18-06-2021,699.7147
17-06-2021,698.3868
16-06-2021,698.458
15-06-2021,699.0616
14-06-2021,699.5307
11-06-2021,700.4866
10-06-2021,699.7675
09-06-2021,699.3098
08-06-2021,697.924
07-06-2021,696.8005
04-06-2021,697.1768
03-06-2021,695.9855
02-06-2021,696.7071
01-06-2021,696.2433
31-05-2021,696.7994
28-05-2021,696.7311
27-05-2021,696.3888
26-05-2021,697.3545
25-05-2021,696.5479
24-05-2021,695.1363
21-05-2021,694.5128
20-05-2021,694.0071
19-05-2021,693.1725
18-05-2021,693.3115
17-05-2021,693.3017
14-05-2021,693.572
13-05-2021,692.88
12-05-2021,693.2588
11-05-2021,694.7053
10-05-2021,696.1283
07-05-2021,696.6118
06-05-2021,696.8833
05-05-2021,696.6396
04-05-2021,696.9019
03-05-2021,695.9915
30-04-2021,695.5442
29-04-2021,695.3634
28-04-2021,696.4684
27-04-2021,696.9028
26-04-2021,697.7756
23-04-2021,698.0328
22-04-2021,698.6258
21-04-2021,698.2993
20-04-2021,697.7759
19-04-2021,697.1404
16-04-2021,697.388
15-04-2021,698.2829
14-04-2021,696.3947
13-04-2021,696.6477
12-04-2021,696.1976
09-04-2021,696.3926
08-04-2021,697.4778
07-04-2021,696.5745
06-04-2021,696.4071
05-04-2021,695.8611
02-04-2021,695.6558
01-04-2021,696.1975
31-03-2021,695.1416
30-03-2021,695.3247
29-03-2021,696.4017
26-03-2021,697.3992
25-03-2021,698.3907
24-03-2021,698.3743
23-03-2021,697.4593
22-03-2021,695.88
19-03-2021,694.3907
18-03-2021,693.8451
17-03-2021,695.0917
16-03-2021,696.3912
15-03-2021,696.295
12-03-2021,695.5311
11-03-2021,698.0332
10-03-2021,697.4275
09-03-2021,696.9218
08-03-2021,695.8237
05-03-2021,696.6785
04-03-2021,696.5769
03-03-2021,697.1655
02-03-2021,698.8458
01-03-2021,698.0361
26-02-2021,696.4808
25-02-2021,694.385
24-02-2021,697.5397
23-02-2021,699.0151
22-02-2021,699.8057
19-02-2021,700.1093
18-02-2021,701.647
17-02-2021,702.6993
16-02-2021,702.5706
15-02-2021,704.2488
12-02-2021,705.5441
11-02-2021,706.9834
10-02-2021,706.7656
09-02-2021,706.7459
08-02-2021,706.5345
05-02-2021,706.6155
04-02-2021,707.3562
03-02-2021,708.0035
02-02-2021,708.62
01-02-2021,709.6664
29-01-2021,709.6763
28-01-2021,710.7897
27-01-2021,711.2801
26-01-2021,710.9974
25-01-2021,711.1603
22-01-2021,709.4179
21-01-2021,709.2638
20-01-2021,710.3948
19-01-2021,710.5821
18-01-2021,710.1171
15-01-2021,710.6301
14-01-2021,710.5113
13-01-2021,710.918
12-01-2021,708.7292
11-01-2021,709.8328
08-01-2021,710.6233
07-01-2021,710.8212
06-01-2021,711.7384
05-01-2021,713.7043
04-01-2021,714.2301
31-12-2020,714.0669
30-12-2020,713.6679
29-12-2020,713.6095
28-12-2020,712.6696
25-12-2020,712.5842
24-12-2020,712.6851
23-12-2020,712.2871
22-12-2020,714.2104
21-12-2020,713.4538
18-12-2020,712.8914
17-12-2020,712.9072
16-12-2020,712.8465
15-12-2020,713.6096
14-12-2020,714.1446
11-12-2020,714.6384
10-12-2020,713.7003
09-12-2020,712.728
08-12-2020,712.9644
07-12-2020,711.76
04-12-2020,710.183
03-12-2020,711.1139
02-12-2020,710.0534
01-12-2020,710.2649
30-11-2020,712.4829
27-11-2020,712.6463
26-11-2020,712.3512
25-11-2020,711.9784
24-11-2020,711.89
23-11-2020,712.4101
20-11-2020,712.7944
19-11-2020,711.9748
18-11-2020,711.4155
17-11-2020,711.3627
16-11-2020,710.5356
13-11-2020,710.483
12-11-2020,709.8979
11-11-2020,707.8174
10-11-2020,707.777
09-11-2020,708.7129
06-11-2020,712.5458
05-11-2020,713.7697
04-11-2020,713.5594
03-11-2020,711.3027
02-11-2020,711.8916
30-10-2020,711.544
29-10-2020,712.315
28-10-2020,712.5155
27-10-2020,712.4698
26-10-2020,711.1328
23-10-2020,710.2472
22-10-2020,710.0381
21-10-2020,711.3359
20-10-2020,712.2841
19-10-2020,713.0792
16-10-2020,713.5281
15-10-2020,713.3444
14-10-2020,712.784
13-10-2020,712.2945
12-10-2020,711.0963
09-10-2020,710.7996
08-10-2020,710.4273
07-10-2020,709.6174
06-10-2020,710.3117
05-10-2020,710.3826
02-10-2020,711.7993
01-10-2020,711.8866
30-09-2020,711.925
29-09-2020,713.0407
28-09-2020,712.3164
25-09-2020,712.5817
24-09-2020,712.3477
23-09-2020,712.0405
22-09-2020,712.3173
21-09-2020,712.322
18-09-2020,711.2831
17-09-2020,711.7366
16-09-2020,711.0718
15-09-2020,710.9941
14-09-2020,711.0169
11-09-2020,710.6796
10-09-2020,709.2694
09-09-2020,709.3304
08-09-2020,710.0168
07-09-2020,708.2758
04-09-2020,708.8194
03-09-2020,710.8389
02-09-2020,709.9331
01-09-2020,708.0828
31-08-2020,707.4269
28-08-2020,706.8406
27-08-2020,706.9213
26-08-2020,708.3828
25-08-2020,709.0906
24-08-2020,711.1285
21-08-2020,710.9424
20-08-2020,710.9402
19-08-2020,710.4137
18-08-2020,710.4336
17-08-2020,709.8992
14-08-2020,708.7496
13-08-2020,708.9496
12-08-2020,710.3411
11-08-2020,711.4209
10-08-2020,713.9134
07-08-2020,713.7677
06-08-2020,714.5916
05-08-2020,713.8134
04-08-2020,715.0015
03-08-2020,713.4616
31-07-2020,714.2037
30-07-2020,714.369
29-07-2020,712.97
28-07-2020,713.0683
27-07-2020,712.6065
24-07-2020,712.0015
23-07-2020,712.5138
22-07-2020,712.0235
21-07-2020,710.9846
20-07-2020,710.5939
17-07-2020,709.8358
16-07-2020,710.2745
15-07-2020,709.1281
14-07-2020,709.7927
13-07-2020,708.5156
10-07-2020,709.9557
09-07-2020,710.1041
08-07-2020,708.8228
07-07-2020,708.2516
06-07-2020,707.5589
03-07-2020,707.7545
02-07-2020,707.6169
01-07-2020,706.6158
30-06-2020,708.5332
29-06-2020,709.0948
26-06-2020,709.0692
25-06-2020,708.5516
24-06-2020,707.7602
23-06-2020,706.7102
22-06-2020,707.417
19-06-2020,706.6838
18-06-2020,706.8071
17-06-2020,706.2676
16-06-2020,706.0202
15-06-2020,707.0024
12-06-2020,706.7297
11-06-2020,707.1797
10-06-2020,703.8991
