Date,Bloomberg Barclays Pan-European High Yield
08-09-2022,386.7254
07-09-2022,385.7037
06-09-2022,385.7262
05-09-2022,384.7666
02-09-2022,386.2664
01-09-2022,385.6888
31-08-2022,388.3124
30-08-2022,390.6593
26-08-2022,393.3189
25-08-2022,393.8347
24-08-2022,392.8659
23-08-2022,392.9225
22-08-2022,393.9167
19-08-2022,396.3783
18-08-2022,398.0264
17-08-2022,399.2154
16-08-2022,401.026
15-08-2022,401.1569
12-08-2022,400.2694
11-08-2022,399.5212
10-08-2022,398.3777
09-08-2022,398.2222
08-08-2022,398.2089
05-08-2022,397.4197
04-08-2022,397.2
03-08-2022,396.0744
02-08-2022,395.6287
01-08-2022,395.6708
29-07-2022,394.2993
28-07-2022,392.7468
27-07-2022,391.2654
26-07-2022,391.4728
25-07-2022,391.437
22-07-2022,389.2769
21-07-2022,386.9568
20-07-2022,386.4353
19-07-2022,382.2871
18-07-2022,381.2289
15-07-2022,380.348
14-07-2022,380.2833
13-07-2022,381.2395
12-07-2022,381.232
11-07-2022,380.5571
08-07-2022,379.1037
07-07-2022,377.1159
06-07-2022,375.665
05-07-2022,375.9026
04-07-2022,375.5334
01-07-2022,375.41
30-06-2022,375.0715
29-06-2022,378.1857
28-06-2022,380.6207
27-06-2022,382.0654
24-06-2022,382.709
23-06-2022,383.2968
22-06-2022,383.8647
21-06-2022,384.2423
20-06-2022,383.8332
17-06-2022,384.2561
16-06-2022,385.0525
15-06-2022,387.4182
14-06-2022,386.9482
13-06-2022,390.1691
10-06-2022,396.4483
09-06-2022,399.7028
08-06-2022,401.394
07-06-2022,401.9916
06-06-2022,402.1151
01-06-2022,402.1596
31-05-2022,402.526
30-05-2022,402.5424
27-05-2022,401.9488
26-05-2022,400.4121
25-05-2022,399.5094
24-05-2022,399.6005
23-05-2022,400.4442
20-05-2022,400.6395
19-05-2022,400.3457
18-05-2022,402.8957
17-05-2022,403.2376
16-05-2022,402.0862
13-05-2022,401.6474
12-05-2022,400.9153
11-05-2022,400.7772
10-05-2022,398.7773
09-05-2022,397.3652
06-05-2022,400.2876
05-05-2022,404.4396
04-05-2022,405.2099
03-05-2022,406.7288
02-05-2022,407.6798
29-04-2022,408.3253
28-04-2022,409.0582
27-04-2022,409.873
26-04-2022,411.9863
25-04-2022,412.6607
22-04-2022,414.1455
21-04-2022,415.0764
20-04-2022,414.9448
19-04-2022,415.0359
14-04-2022,416.0406
13-04-2022,415.9247
12-04-2022,416.5777
11-04-2022,417.6882
08-04-2022,418.523
07-04-2022,418.8809
06-04-2022,419.7609
05-04-2022,421.0329
04-04-2022,420.8727
01-04-2022,420.0243
31-03-2022,419.7871
30-03-2022,419.1679
29-03-2022,418.9897
28-03-2022,418.184
25-03-2022,418.5115
24-03-2022,418.6435
23-03-2022,419.2394
22-03-2022,419.1697
21-03-2022,419.1868
18-03-2022,418.0541
17-03-2022,416.9163
16-03-2022,415.2017
15-03-2022,413.7205
14-03-2022,414.8633
11-03-2022,415.4184
10-03-2022,415.2766
09-03-2022,415.2614
08-03-2022,414.5862
07-03-2022,415.7012
04-03-2022,419.6518
03-03-2022,420.7035
02-03-2022,420.7957
01-03-2022,420.8931
28-02-2022,419.6796
25-02-2022,420.424
24-02-2022,418.6109
23-02-2022,422.1669
22-02-2022,421.7367
21-02-2022,423.1878
18-02-2022,423.8596
17-02-2022,424.0775
16-02-2022,423.9122
15-02-2022,422.9806
14-02-2022,422.6712
11-02-2022,424.4301
10-02-2022,425.2944
09-02-2022,425.7397
08-02-2022,424.178
07-02-2022,423.1324
04-02-2022,425.932
03-02-2022,430.6019
02-02-2022,432.8626
01-02-2022,432.1925
31-01-2022,431.8412
28-01-2022,433.2013
27-01-2022,434.6872
26-01-2022,435.3612
25-01-2022,434.6303
24-01-2022,435.1131
21-01-2022,436.3656
20-01-2022,437.2555
19-01-2022,437.0678
18-01-2022,437.1261
17-01-2022,437.8797
14-01-2022,438.1056
13-01-2022,438.5928
12-01-2022,438.4254
11-01-2022,438.2721
10-01-2022,438.33
07-01-2022,438.6472
06-01-2022,438.8074
05-01-2022,439.0936
04-01-2022,438.8331
03-01-2022,437.9639
31-12-2021,437.8663
30-12-2021,437.8082
29-12-2021,437.6647
28-12-2021,437.777
27-12-2021,437.5912
24-12-2021,437.3448
23-12-2021,437.3441
22-12-2021,437.0528
21-12-2021,436.8393
20-12-2021,436.7443
17-12-2021,437.1371
16-12-2021,437.1398
15-12-2021,436.8827
14-12-2021,436.9082
13-12-2021,436.9209
10-12-2021,436.5572
09-12-2021,436.5514
08-12-2021,436.1882
07-12-2021,436.4418
06-12-2021,435.3967
03-12-2021,435.0316
02-12-2021,434.7392
01-12-2021,434.3397
30-11-2021,433.5407
29-11-2021,433.9513
26-11-2021,433.9333
25-11-2021,436.4034
24-11-2021,436.6801
23-11-2021,437.0399
22-11-2021,437.753
19-11-2021,437.9516
18-11-2021,437.8572
17-11-2021,437.817
16-11-2021,437.5288
15-11-2021,437.3404
12-11-2021,437.1942
11-11-2021,437.2549
10-11-2021,437.6602
09-11-2021,437.8527
08-11-2021,437.8809
05-11-2021,437.2794
04-11-2021,436.522
03-11-2021,435.9622
02-11-2021,435.7251
