Date,Bloomberg Barclays US Corporate
08-09-2022,2990.84
07-09-2022,2997.94
06-09-2022,2976.6
02-09-2022,3009.37
01-09-2022,2996.76
31-08-2022,3022.99
30-08-2022,3040.53
29-08-2022,3041.56
26-08-2022,3059.76
25-08-2022,3062.01
24-08-2022,3041.51
23-08-2022,3048.08
22-08-2022,3051.24
19-08-2022,3066.93
18-08-2022,3092.65
17-08-2022,3088.6
16-08-2022,3109.74
15-08-2022,3112.17
12-08-2022,3105.21
11-08-2022,3086.56
10-08-2022,3101.66
09-08-2022,3093
08-08-2022,3103.16
05-08-2022,3086.54
04-08-2022,3123.63
03-08-2022,3117.96
02-08-2022,3097.62
01-08-2022,3133.4
29-07-2022,3114.32
28-07-2022,3107.92
27-07-2022,3087.14
26-07-2022,3078.83
25-07-2022,3082.54
22-07-2022,3098.81
21-07-2022,3072.4
20-07-2022,3043.57
19-07-2022,3039.65
18-07-2022,3045.73
15-07-2022,3050.49
14-07-2022,3034.9
13-07-2022,3049.3
12-07-2022,3039.23
11-07-2022,3035.94
08-07-2022,3018.53
07-07-2022,3026.14
06-07-2022,3028.47
05-07-2022,3043.53
01-07-2022,3033.35
30-06-2022,3016.66
29-06-2022,3009.46
28-06-2022,2995.3
27-06-2022,2996.36
24-06-2022,3009.39
23-06-2022,3015.55
22-06-2022,3004.99
21-06-2022,2983.65
17-06-2022,2999.06
16-06-2022,2995.27
15-06-2022,2993.77
14-06-2022,2957.4
13-06-2022,2975.51
10-06-2022,3035.07
09-06-2022,3065.54
08-06-2022,3071.74
07-06-2022,3081.87
06-06-2022,3071.03
03-06-2022,3090.34
02-06-2022,3096.91
01-06-2022,3095.57
31-05-2022,3103.56
27-05-2022,3116.81
26-05-2022,3111.84
25-05-2022,3100.71
24-05-2022,3082.06
23-05-2022,3052.88
20-05-2022,3065.91
19-05-2022,3053.69
18-05-2022,3048.94
17-05-2022,3036.39
16-05-2022,3055.56
13-05-2022,3052.54
12-05-2022,3069.02
11-05-2022,3069.42
10-05-2022,3052.23
09-05-2022,3042.93
06-05-2022,3034.2
05-05-2022,3051.62
04-05-2022,3080.08
