Date,Bloomberg Barclays US Treasury Inflation-Linked Notes
08-09-2022,340.6584
07-09-2022,342.6815
06-09-2022,341.3472
02-09-2022,344.4529
01-09-2022,342.3193
31-08-2022,345.3311
30-08-2022,348.3731
29-08-2022,348.8524
26-08-2022,350.1685
25-08-2022,350.5849
24-08-2022,349.6254
23-08-2022,349.468
22-08-2022,349.2371
19-08-2022,349.4831
18-08-2022,350.4019
17-08-2022,348.5937
16-08-2022,349.7658
15-08-2022,349.6789
12-08-2022,349.556
11-08-2022,348.4268
10-08-2022,349.6983
09-08-2022,350.2438
08-08-2022,351.2297
05-08-2022,348.8291
04-08-2022,352.6121
03-08-2022,352.6871
02-08-2022,350.5938
01-08-2022,355.0748
29-07-2022,354.7659
28-07-2022,352.5793
27-07-2022,349.2345
26-07-2022,347.2259
25-07-2022,347.1666
22-07-2022,347.5479
21-07-2022,344.7117
20-07-2022,342.9376
19-07-2022,343.2351
18-07-2022,343.621
15-07-2022,343.5865
14-07-2022,341.8327
13-07-2022,342.7199
12-07-2022,341.2642
11-07-2022,341.4204
08-07-2022,340.3168
07-07-2022,340.8033
06-07-2022,341.3854
05-07-2022,344.3882
01-07-2022,343.174
30-06-2022,339.9656
29-06-2022,340.3191
28-06-2022,341.0207
27-06-2022,342.3252
24-06-2022,344.1861
23-06-2022,344.1656
22-06-2022,343.3501
21-06-2022,341.4243
17-06-2022,342.2685
16-06-2022,342.8805
15-06-2022,343.6145
14-06-2022,338.4725
13-06-2022,343.549
10-06-2022,349.085
09-06-2022,350.8766
08-06-2022,350.6832
07-06-2022,351.5187
06-06-2022,350.6595
03-06-2022,352.9423
02-06-2022,350.9323
01-06-2022,349.6518
31-05-2022,351.0752
27-05-2022,352.5469
26-05-2022,352.2404
25-05-2022,350.8299
24-05-2022,350.6121
23-05-2022,348.6295
20-05-2022,349.4104
19-05-2022,349.6436
18-05-2022,351.1972
17-05-2022,348.6969
16-05-2022,350.3133
13-05-2022,349.726
12-05-2022,348.777
11-05-2022,350.0832
10-05-2022,346.1778
09-05-2022,347.5926
06-05-2022,348.4761
05-05-2022,349.7963
04-05-2022,353.2751
03-05-2022,350.6201
02-05-2022,349.4157
29-04-2022,354.5931
28-04-2022,357.3079
27-04-2022,355.4926
26-04-2022,356.1748
25-04-2022,355.3452
22-04-2022,355.266
21-04-2022,356.7162
20-04-2022,355.5852
19-04-2022,353.0224
18-04-2022,354.687
14-04-2022,354.3006
13-04-2022,354.8907
12-04-2022,355.4965
11-04-2022,355.5787
08-04-2022,355.7503
07-04-2022,355.5504
06-04-2022,355.9874
05-04-2022,357.4325
04-04-2022,360.202
01-04-2022,360.2964
31-03-2022,361.9916
30-03-2022,363.2148
29-03-2022,361.7899
28-03-2022,363.1424
25-03-2022,363.1377
24-03-2022,365.6436
23-03-2022,367.8608
22-03-2022,363.7464
21-03-2022,365.4091
18-03-2022,368.3195
17-03-2022,369.1517
16-03-2022,364.9175
15-03-2022,366.9296
14-03-2022,369.6563
11-03-2022,373.4557
10-03-2022,370.9453
09-03-2022,371.7765
08-03-2022,375.2392
07-03-2022,373.8467
04-03-2022,371.4474
03-03-2022,368.9566
02-03-2022,369.3256
01-03-2022,371.9149
28-02-2022,368.8496
25-02-2022,362.4857
24-02-2022,363.018
23-02-2022,361.3919
22-02-2022,361.2433
18-02-2022,360.1228
17-02-2022,359.2732
