Date,Bloomberg Global 7-10 Year Return Index Value Unhedged USD
08-09-2022,533.1335
07-09-2022,533.9438
06-09-2022,534.4588
05-09-2022,539.0146
02-09-2022,542.2894
01-09-2022,538.7113
31-08-2022,544.7961
30-08-2022,544.5623
29-08-2022,546.2083
26-08-2022,550.5706
25-08-2022,551.9918
24-08-2022,550.0882
23-08-2022,552.4333
22-08-2022,551.9163
19-08-2022,555.9148
18-08-2022,563.9274
17-08-2022,564.7391
16-08-2022,569.7398
15-08-2022,572.915
12-08-2022,571.2879
11-08-2022,574.6669
10-08-2022,577.4021
09-08-2022,570.5051
08-08-2022,571.663
05-08-2022,568.6704
04-08-2022,575.4126
03-08-2022,570.655
02-08-2022,575.8361
01-08-2022,579.8446
29-07-2022,574.1713
28-07-2022,571.0786
27-07-2022,563.3475
26-07-2022,564.1037
25-07-2022,563.8683
22-07-2022,564.2902
21-07-2022,556.682
20-07-2022,555.0471
19-07-2022,556.2435
18-07-2022,556.2211
15-07-2022,554.0721
14-07-2022,550.3349
13-07-2022,557.1896
12-07-2022,556.202
11-07-2022,553.7852
08-07-2022,555.5516
07-07-2022,556.8266
06-07-2022,559.0954
05-07-2022,559.6798
04-07-2022,561.0369
01-07-2022,562.6815
30-06-2022,559.236
29-06-2022,555.8407
28-06-2022,554.255
27-06-2022,558.0516
24-06-2022,559.5821
23-06-2022,560.1021
22-06-2022,555.6391
21-06-2022,550.9009
20-06-2022,552.886
17-06-2022,551.5995
16-06-2022,554.3635
15-06-2022,549.5829
14-06-2022,545.6471
13-06-2022,550.4799
10-06-2022,558.8912
09-06-2022,565.015
08-06-2022,569.4106
07-06-2022,572.1969
06-06-2022,573.1184
03-06-2022,577.376
02-06-2022,578.3827
01-06-2022,577.4437
31-05-2022,581.7062
30-05-2022,587.1886
27-05-2022,587.0274
26-05-2022,585.5897
25-05-2022,585.9038
24-05-2022,586.5773
23-05-2022,582.4505
20-05-2022,580.9644
19-05-2022,580.8196
18-05-2022,576.8172
17-05-2022,574.9497
16-05-2022,574.6485
13-05-2022,573.2797
12-05-2022,576.5333
11-05-2022,574.1569
10-05-2022,572.4552
09-05-2022,570.1691
06-05-2022,570.7401
05-05-2022,573.7126
04-05-2022,576.4141
03-05-2022,576.5657
02-05-2022,575.8947
29-04-2022,579.5528
28-04-2022,577.9874
27-04-2022,583.4586
26-04-2022,588.5691
25-04-2022,587.3707
22-04-2022,586.5759
21-04-2022,590.0353
20-04-2022,593.5151
19-04-2022,588.9661
18-04-2022,594.0792
15-04-2022,595.8102
14-04-2022,595.9236
13-04-2022,599.1571
12-04-2022,599.4539
11-04-2022,598.217
08-04-2022,601.8904
07-04-2022,604.6357
06-04-2022,605.9262
05-04-2022,609.4697
04-04-2022,614.8149
01-04-2022,614.2977
31-03-2022,619.7488
30-03-2022,617.7797
29-03-2022,614.2064
28-03-2022,610.6716
25-03-2022,614.1249
24-03-2022,616.5681
23-03-2022,619.264
22-03-2022,618.8979
21-03-2022,624.0104
18-03-2022,626.9657
17-03-2022,628.1924
16-03-2022,625.1064
15-03-2022,625.1226
14-03-2022,625.4295
11-03-2022,630.8136
10-03-2022,633.598
09-03-2022,637.0754
08-03-2022,636.5154
07-03-2022,641.0196
04-03-2022,645.0908
03-03-2022,644.211
02-03-2022,644.5395
01-03-2022,650.235
28-02-2022,645.3326
25-02-2022,642.2101
24-02-2022,639.4067
23-02-2022,644.3765
22-02-2022,645.2412
21-02-2022,646.0397
18-02-2022,646.0533
17-02-2022,645.936
16-02-2022,643.4312
15-02-2022,641.2493
14-02-2022,641.5603
11-02-2022,643.9779
10-02-2022,644.757
09-02-2022,647.4404
08-02-2022,645.4517
07-02-2022,648.2289
04-02-2022,648.3005
03-02-2022,651.9596
02-02-2022,653.5112
01-02-2022,651.3985
31-01-2022,650.3536
28-01-2022,650.0463
27-01-2022,649.6108
26-01-2022,654.7215
25-01-2022,656.5121
24-01-2022,657.5027
21-01-2022,659.1471
20-01-2022,657.5868
19-01-2022,655.8183
18-01-2022,655.1666
17-01-2022,657.8693
14-01-2022,660.6683
13-01-2022,663.0638
12-01-2022,659.8768
11-01-2022,655.4444
10-01-2022,655.467
07-01-2022,655.3291
06-01-2022,654.9619
05-01-2022,658.2909
04-01-2022,658.0975
03-01-2022,659.3153
31-12-2021,663.825
30-12-2021,662.5778
29-12-2021,663.42
28-12-2021,664.0453
27-12-2021,664.1294
24-12-2021,664.9271
23-12-2021,664.4057
22-12-2021,665.6623
21-12-2021,664.5651
20-12-2021,668.337
17-12-2021,668.3299
16-12-2021,668.3226
15-12-2021,666.2867
14-12-2021,667.4398
13-12-2021,668.2038
10-12-2021,667.8942
09-12-2021,667.1401
08-12-2021,666.4125
07-12-2021,666.3583
06-12-2021,667.7563
03-12-2021,667.9739
02-12-2021,668.5024
01-12-2021,668.2521
30-11-2021,665.5776
29-11-2021,664.0927
26-11-2021,666.326
25-11-2021,657.4209
24-11-2021,656.566
23-11-2021,658.7666
22-11-2021,661.5759
19-11-2021,666.1685
18-11-2021,664.817
17-11-2021,663.0114
16-11-2021,663.6051
15-11-2021,666.46
12-11-2021,667.1825
11-11-2021,667.5001
10-11-2021,669.9875
09-11-2021,675.4067
08-11-2021,673.8123
05-11-2021,673.128
04-11-2021,670.2748
03-11-2021,668.2751
02-11-2021,668.8737
01-11-2021,666.4195
29-10-2021,666.2082
28-10-2021,672.0056
27-10-2021,670.7819
26-10-2021,668.4509
25-10-2021,669.5432
22-10-2021,669.4709
21-10-2021,668.897
20-10-2021,669.455
19-10-2021,669.0657
18-10-2021,668.4696
15-10-2021,670.7009
14-10-2021,671.5631
13-10-2021,669.4584
12-10-2021,667.2176
11-10-2021,668.3288
08-10-2021,670.9525
07-10-2021,672.7874
06-10-2021,672.562
05-10-2021,674.0072
04-10-2021,676.9641
01-10-2021,676.1012
30-09-2021,673.4466
29-09-2021,673.6221
28-09-2021,675.478
27-09-2021,679.4064
24-09-2021,680.5681
23-09-2021,684.5006
22-09-2021,687.0272
