Date,Bloomberg US Corporate High Yield Total Return Index Value Unhedged USD
08-09-2022,2195.13
07-09-2022,2184.49
06-09-2022,2176.73
02-09-2022,2181.59
01-09-2022,2173.04
31-08-2022,2185.29
30-08-2022,2194.84
29-08-2022,2209.62
26-08-2022,2221.63
25-08-2022,2227.42
24-08-2022,2221.68
23-08-2022,2221
22-08-2022,2225.53
19-08-2022,2245.24
18-08-2022,2257.47
17-08-2022,2260.42
16-08-2022,2272.05
15-08-2022,2275.77
12-08-2022,2272.71
11-08-2022,2270.44
10-08-2022,2265.13
09-08-2022,2250.07
08-08-2022,2258.45
05-08-2022,2251.5
04-08-2022,2256.32
03-08-2022,2248.28
02-08-2022,2245.37
01-08-2022,2243.78
29-07-2022,2236.84
28-07-2022,2220.14
27-07-2022,2206.61
26-07-2022,2198.97
25-07-2022,2205.46
22-07-2022,2203.07
21-07-2022,2192.26
20-07-2022,2183.93
19-07-2022,2169.06
18-07-2022,2159.59
15-07-2022,2149.81
14-07-2022,2138.11
13-07-2022,2147.09
12-07-2022,2148.74
11-07-2022,2147.09
08-07-2022,2144.2
07-07-2022,2138.92
06-07-2022,2122.14
05-07-2022,2116.91
01-07-2022,2116.06
30-06-2022,2112.15
29-06-2022,2120.43
28-06-2022,2136.36
27-06-2022,2151.5
24-06-2022,2151.12
23-06-2022,2138.67
22-06-2022,2135.92
21-06-2022,2143.72
17-06-2022,2139.02
16-06-2022,2134.71
15-06-2022,2156.93
14-06-2022,2140.34
13-06-2022,2145.37
10-06-2022,2202.87
09-06-2022,2227.28
08-06-2022,2238.49
07-06-2022,2243.74
06-06-2022,2250.21
03-06-2022,2255.32
02-06-2022,2264.05
01-06-2022,2263.08
31-05-2022,2264.63
27-05-2022,2263.18
26-05-2022,2249.14
25-05-2022,2219.91
24-05-2022,2198.14
23-05-2022,2194.59
20-05-2022,2190.01
19-05-2022,2187.87
18-05-2022,2189.4
17-05-2022,2204.43
16-05-2022,2204.48
13-05-2022,2205.27
12-05-2022,2202.89
11-05-2022,2212.45
10-05-2022,2213.4
09-05-2022,2212.82
06-05-2022,2232.26
05-05-2022,2246.92
04-05-2022,2254.98
03-05-2022,2250.92
02-05-2022,2246.86
29-04-2022,2259.09
28-04-2022,2270.06
27-04-2022,2273.01
26-04-2022,2277.78
25-04-2022,2276.71
22-04-2022,2279.9
21-04-2022,2289.61
20-04-2022,2295.09
19-04-2022,2292.4
18-04-2022,2295.04
14-04-2022,2300.16
13-04-2022,2300.42
12-04-2022,2296.96
11-04-2022,2291.64
08-04-2022,2307.5
07-04-2022,2315.84
06-04-2022,2321.7
05-04-2022,2337.71
04-04-2022,2343.76
01-04-2022,2338.83
31-03-2022,2342.38
30-03-2022,2341.02
29-03-2022,2335.32
28-03-2022,2320.02
25-03-2022,2321.72
24-03-2022,2325.05
23-03-2022,2324.7
22-03-2022,2324.58
21-03-2022,2329.77
18-03-2022,2336.78
17-03-2022,2333.73
16-03-2022,2317.75
15-03-2022,2302.51
14-03-2022,2304.25
11-03-2022,2324.82
10-03-2022,2330.82
09-03-2022,2340.37
08-03-2022,2338.18
07-03-2022,2347.73
04-03-2022,2361.17
03-03-2022,2370
02-03-2022,2370.66
01-03-2022,2369.85
28-02-2022,2369.55
25-02-2022,2365
24-02-2022,2347.99
23-02-2022,2356.19
22-02-2022,2356.53
18-02-2022,2356.28
17-02-2022,2357.02
16-02-2022,2357.94
15-02-2022,2355.25
14-02-2022,2351.33
11-02-2022,2362.24
10-02-2022,2376.69
09-02-2022,2390.62
08-02-2022,2383.98
07-02-2022,2383.84
04-02-2022,2385.22
03-02-2022,2399.73
02-02-2022,2409.75
01-02-2022,2403.62
31-01-2022,2394.13
28-01-2022,2392.45
27-01-2022,2400.95
26-01-2022,2415.43
25-01-2022,2414.67
24-01-2022,2416.61
21-01-2022,2423.52
20-01-2022,2430.77
19-01-2022,2432.86
18-01-2022,2431.2
14-01-2022,2440.02
13-01-2022,2445.14
12-01-2022,2446.34
11-01-2022,2441.11
10-01-2022,2433.05
07-01-2022,2438.28
06-01-2022,2443.91
05-01-2022,2451.74
04-01-2022,2456.22
03-01-2022,2459.46
31-12-2021,2461.43
30-12-2021,2461.56
29-12-2021,2461.94
28-12-2021,2463.02
27-12-2021,2461.96
23-12-2021,2456.02
22-12-2021,2452.17
21-12-2021,2447.64
20-12-2021,2441.18
17-12-2021,2443.63
16-12-2021,2444.79
15-12-2021,2440.74
14-12-2021,2439.39
13-12-2021,2442.46
10-12-2021,2441.87
09-12-2021,2442.26
08-12-2021,2444.59
07-12-2021,2445.91
06-12-2021,2433.48
03-12-2021,2425.99
02-12-2021,2422.43
01-12-2021,2420.71
30-11-2021,2416.14
29-11-2021,2418.83
26-11-2021,2410.75
24-11-2021,2423.5
23-11-2021,2427.21
22-11-2021,2437.02
19-11-2021,2439.33
18-11-2021,2440.81
17-11-2021,2441.01
16-11-2021,2442.47
15-11-2021,2444.84
12-11-2021,2448.61
10-11-2021,2452.3
09-11-2021,2458.19
08-11-2021,2457.34
05-11-2021,2454.84
04-11-2021,2445.84
03-11-2021,2440.57
02-11-2021,2440.17
01-11-2021,2439.14
29-10-2021,2439.87
28-10-2021,2440.57
27-10-2021,2439.68
26-10-2021,2438.64
25-10-2021,2437.83
22-10-2021,2437.76
21-10-2021,2440.51
20-10-2021,2440.54
19-10-2021,2440.04
18-10-2021,2438.64
15-10-2021,2439.64
14-10-2021,2438.8
13-10-2021,2431.83
12-10-2021,2431.79
08-10-2021,2436.06
07-10-2021,2438.73
06-10-2021,2435.86
05-10-2021,2441.91
04-10-2021,2442.55
01-10-2021,2444.11
30-09-2021,2444.06
29-09-2021,2445.41
28-09-2021,2443.88
27-09-2021,2450.57
24-09-2021,2451.83
23-09-2021,2453.75
22-09-2021,2453.34
21-09-2021,2450.32
20-09-2021,2447.61
17-09-2021,2455.11
16-09-2021,2455.49
15-09-2021,2455.65
14-09-2021,2455.01
13-09-2021,2453.8
10-09-2021,2451.56
09-09-2021,2450.59
08-09-2021,2448.83
07-09-2021,2448.51
03-09-2021,2448.93
02-09-2021,2448.15
01-09-2021,2445.67
31-08-2021,2444.32
30-08-2021,2442.65
27-08-2021,2438.86
26-08-2021,2434.09
25-08-2021,2433.06
24-08-2021,2430.34
23-08-2021,2426.41
20-08-2021,2421.97
19-08-2021,2420.5
18-08-2021,2423.83
17-08-2021,2423.04
16-08-2021,2423.98
13-08-2021,2423.36
12-08-2021,2422.14
11-08-2021,2421.55
10-08-2021,2423.3
09-08-2021,2425.4
06-08-2021,2427.17
05-08-2021,2427.27
04-08-2021,2427.44
03-08-2021,2429.38
02-08-2021,2432.11
30-07-2021,2431.83
29-07-2021,2431.23
28-07-2021,2429.56
27-07-2021,2429.37
26-07-2021,2431.57
23-07-2021,2430.35
22-07-2021,2428.64
21-07-2021,2426.53
20-07-2021,2421.18
19-07-2021,2417.17
16-07-2021,2428.71
15-07-2021,2429.43
14-07-2021,2431.8
13-07-2021,2432.9
12-07-2021,2433.78
09-07-2021,2432.35
08-07-2021,2431.17
07-07-2021,2433.76
06-07-2021,2431.48
02-07-2021,2427.4
01-07-2021,2425.84
30-06-2021,2422.6
29-06-2021,2420.11
28-06-2021,2418.45
25-06-2021,2416.19
24-06-2021,2414.13
23-06-2021,2411.98
22-06-2021,2409.9
21-06-2021,2409.41
18-06-2021,2407.36
17-06-2021,2408.38
16-06-2021,2410.16
15-06-2021,2410.34
14-06-2021,2410.14
11-06-2021,2409.13
10-06-2021,2407.42
09-06-2021,2405.65
08-06-2021,2402.22
07-06-2021,2399.58
04-06-2021,2397.24
03-06-2021,2395.19
02-06-2021,2395.27
01-06-2021,2392.41
31-05-2021,2390.58
28-05-2021,2390.58
27-05-2021,2388.84
26-05-2021,2387.24
25-05-2021,2386.15
24-05-2021,2384.53
21-05-2021,2382.07
20-05-2021,2380.61
19-05-2021,2379.69
18-05-2021,2384.32
17-05-2021,2384.53
14-05-2021,2384.16
13-05-2021,2382.16
12-05-2021,2382.78
11-05-2021,2386.69
