Date,CHF
09-09-2022,0.9608
08-09-2022,0.9707
07-09-2022,0.9767
06-09-2022,0.9836
05-09-2022,0.9798
02-09-2022,0.9812
01-09-2022,0.9818
31-08-2022,0.9775
30-08-2022,0.9743
29-08-2022,0.9682
26-08-2022,0.9657
25-08-2022,0.9636
24-08-2022,0.9666
23-08-2022,0.9639
22-08-2022,0.9643
19-08-2022,0.9592
18-08-2022,0.9566
17-08-2022,0.952
16-08-2022,0.9496
15-08-2022,0.9457
12-08-2022,0.9416
11-08-2022,0.9416
10-08-2022,0.9427
09-08-2022,0.9537
08-08-2022,0.9551
05-08-2022,0.9615
04-08-2022,0.9554
03-08-2022,0.961
02-08-2022,0.9571
01-08-2022,0.9496
29-07-2022,0.9524
28-07-2022,0.9549
27-07-2022,0.9598
26-07-2022,0.9629
25-07-2022,0.9643
22-07-2022,0.9629
21-07-2022,0.9667
20-07-2022,0.9718
19-07-2022,0.9684
18-07-2022,0.9776
15-07-2022,0.9772
14-07-2022,0.9836
13-07-2022,0.9786
12-07-2022,0.9822
11-07-2022,0.9832
08-07-2022,0.9772
07-07-2022,0.9737
06-07-2022,0.971
05-07-2022,0.9685
04-07-2022,0.9612
01-07-2022,0.9611
30-06-2022,0.9551
29-06-2022,0.955
28-06-2022,0.9572
27-06-2022,0.9563
24-06-2022,0.9583
23-06-2022,0.9609
22-06-2022,0.9612
21-06-2022,0.9661
20-06-2022,0.9676
17-06-2022,0.9699
16-06-2022,0.9666
15-06-2022,0.9942
14-06-2022,1.0016
13-06-2022,0.9976
10-06-2022,0.988
09-06-2022,0.9802
08-06-2022,0.9785
07-06-2022,0.9729
06-06-2022,0.9708
03-06-2022,0.9621
02-06-2022,0.9581
01-06-2022,0.9632
31-05-2022,0.9595
30-05-2022,0.9573
27-05-2022,0.9568
26-05-2022,0.9599
25-05-2022,0.9617
24-05-2022,0.9601
23-05-2022,0.9658
20-05-2022,0.9746
19-05-2022,0.9722
18-05-2022,0.9882
17-05-2022,0.9935
16-05-2022,1.0023
13-05-2022,1.0012
12-05-2022,1.0032
11-05-2022,0.9944
10-05-2022,0.9959
09-05-2022,0.9939
06-05-2022,0.989
05-05-2022,0.985
04-05-2022,0.9722
03-05-2022,0.9784
02-05-2022,0.9779
29-04-2022,0.9718
28-04-2022,0.972
27-04-2022,0.9691
26-04-2022,0.9625
25-04-2022,0.9592
22-04-2022,0.9575
21-04-2022,0.9533
20-04-2022,0.9485
19-04-2022,0.9521
18-04-2022,0.9446
15-04-2022,0.9431
14-04-2022,0.9423
13-04-2022,0.9341
12-04-2022,0.933
11-04-2022,0.9309
08-04-2022,0.9343
07-04-2022,0.9338
06-04-2022,0.9332
05-04-2022,0.9296
04-04-2022,0.9263
01-04-2022,0.9264
31-03-2022,0.9225
30-03-2022,0.9232
29-03-2022,0.9314
28-03-2022,0.9343
25-03-2022,0.93
24-03-2022,0.9302
23-03-2022,0.9306
22-03-2022,0.9329
21-03-2022,0.9337
18-03-2022,0.9318
17-03-2022,0.9371
16-03-2022,0.9405
15-03-2022,0.9413
14-03-2022,0.9387
11-03-2022,0.9342
10-03-2022,0.9298
09-03-2022,0.9264
08-03-2022,0.9289
07-03-2022,0.9255
04-03-2022,0.9167
03-03-2022,0.9172
02-03-2022,0.9203
01-03-2022,0.9185
28-02-2022,0.9168
25-02-2022,0.9252
24-02-2022,0.9259
23-02-2022,0.9179
22-02-2022,0.9215
21-02-2022,0.9159
18-02-2022,0.9215
17-02-2022,0.9204
