Date,DB CoreSeries FX Carry Balanced USD Index
22-09-2022,236.57
21-09-2022,235.88
20-09-2022,236.62
19-09-2022,235.81
16-09-2022,234.5
15-09-2022,234.95
14-09-2022,235.52
13-09-2022,235.78
12-09-2022,236.33
09-09-2022,236.41
08-09-2022,236.08
07-09-2022,235.92
06-09-2022,235.2
05-09-2022,235.37
02-09-2022,234.97
01-09-2022,233.61
31-08-2022,232.89
30-08-2022,233.99
29-08-2022,234.01
26-08-2022,232.17
25-08-2022,232.58
24-08-2022,232.32
23-08-2022,231.87
22-08-2022,230.52
19-08-2022,229.85
18-08-2022,230.22
17-08-2022,230.18
16-08-2022,231.03
15-08-2022,231.45
12-08-2022,231.91
11-08-2022,230.88
10-08-2022,231.91
09-08-2022,230.86
08-08-2022,231.07
05-08-2022,230.7
04-08-2022,229.55
03-08-2022,228.68
02-08-2022,228.82
01-08-2022,230.42
29-07-2022,230.4
28-07-2022,230.64
27-07-2022,230.05
26-07-2022,230.21
25-07-2022,229.67
22-07-2022,229.41
21-07-2022,229.26
20-07-2022,230.23
19-07-2022,230.39
18-07-2022,230.6
15-07-2022,230.07
14-07-2022,228.71
13-07-2022,229.25
12-07-2022,228.44
11-07-2022,229.01
08-07-2022,229.99
07-07-2022,228.49
06-07-2022,226.88
05-07-2022,228.14
04-07-2022,229.92
01-07-2022,229.18
30-06-2022,230.29
29-06-2022,229.68
28-06-2022,229.96
27-06-2022,229.98
24-06-2022,229.63
23-06-2022,230.07
22-06-2022,230.65
21-06-2022,231.2
20-06-2022,230.22
17-06-2022,229.51
16-06-2022,228.7
15-06-2022,230.23
14-06-2022,230.69
13-06-2022,230.95
10-06-2022,233.41
09-06-2022,234.93
08-06-2022,235.27
07-06-2022,235.86
06-06-2022,236.4
03-06-2022,235.64
02-06-2022,236.02
01-06-2022,234.01
31-05-2022,234.22
30-05-2022,236.27
27-05-2022,236.12
26-05-2022,235.32
25-05-2022,234.88
24-05-2022,235.09
23-05-2022,236.01
20-05-2022,234.77
19-05-2022,234.37
18-05-2022,234.03
17-05-2022,233.89
16-05-2022,232.83
13-05-2022,232.83
