DB Cross Asset CTA Trend Index,PX_LAST
21-09-2022,257.37
20-09-2022,256.6
16-09-2022,255.38
15-09-2022,255.07
14-09-2022,255.23
13-09-2022,254.08
12-09-2022,252.51
09-09-2022,253.48
08-09-2022,254.43
07-09-2022,254.66
06-09-2022,255.02
05-09-2022,254.87
02-09-2022,253.91
01-09-2022,255.17
31-08-2022,253.25
30-08-2022,253.34
26-08-2022,251.55
25-08-2022,251.14
24-08-2022,251.85
23-08-2022,251.3
22-08-2022,251.28
19-08-2022,249.8
18-08-2022,247.91
17-08-2022,247.51
16-08-2022,246.32
15-08-2022,245.57
12-08-2022,245.4
11-08-2022,244.7
10-08-2022,244.14
09-08-2022,245.65
08-08-2022,245.31
05-08-2022,246.5
04-08-2022,245.79
03-08-2022,247.24
02-08-2022,245.96
01-08-2022,245.38
29-07-2022,246.22
28-07-2022,247.41
27-07-2022,249.76
26-07-2022,249.84
25-07-2022,250.09
22-07-2022,249.78
21-07-2022,251.22
20-07-2022,251.6
19-07-2022,251.89
18-07-2022,252.48
15-07-2022,253.15
14-07-2022,254.27
13-07-2022,252.53
12-07-2022,252.45
11-07-2022,253.39
08-07-2022,252.29
07-07-2022,252.06
06-07-2022,251.78
05-07-2022,252.28
04-07-2022,252.41
01-07-2022,252.08
30-06-2022,252.36
29-06-2022,253.64
28-06-2022,254.1
27-06-2022,252.86
24-06-2022,253
23-06-2022,253.51
22-06-2022,255.18
21-06-2022,256.01
20-06-2022,256.43
17-06-2022,256.75
16-06-2022,257.73
15-06-2022,257.37
14-06-2022,258.03
13-06-2022,258.01
10-06-2022,254.89
09-06-2022,253.22
08-06-2022,251.06
07-06-2022,250.9
06-06-2022,250.76
01-06-2022,249.2
31-05-2022,247.88
30-05-2022,247.12
27-05-2022,247.28
26-05-2022,248.31
25-05-2022,248.62
24-05-2022,248.43
23-05-2022,248.74
20-05-2022,248.76
19-05-2022,248.75
18-05-2022,249.46
17-05-2022,249.44
16-05-2022,249.54
13-05-2022,249.08
12-05-2022,248.68
11-05-2022,249.38
10-05-2022,249.04
09-05-2022,250.02
06-05-2022,251.44
05-05-2022,250.88
04-05-2022,250.23
03-05-2022,248.72
29-04-2022,247.94
28-04-2022,248.27
27-04-2022,247.43
26-04-2022,245.91
25-04-2022,246.17
22-04-2022,247.09
21-04-2022,247.31
20-04-2022,246.77
19-04-2022,247.76
14-04-2022,245.9
13-04-2022,244.89
12-04-2022,245.05
11-04-2022,244.44
08-04-2022,243.28
07-04-2022,242.42
06-04-2022,242.65
05-04-2022,241.33
04-04-2022,240.17
01-04-2022,240.21
31-03-2022,238.48
30-03-2022,239.22
29-03-2022,239.37
28-03-2022,241.45
25-03-2022,242.3
24-03-2022,241.46
23-03-2022,240.59
22-03-2022,238.58
21-03-2022,238.69
18-03-2022,237.43
17-03-2022,238.17
16-03-2022,238.9
15-03-2022,240.81
14-03-2022,241.28
11-03-2022,241.34
10-03-2022,240.28
09-03-2022,240.87
08-03-2022,243.04
07-03-2022,241.48
04-03-2022,234.36
03-03-2022,233.18
02-03-2022,232.4
01-03-2022,229.89
28-02-2022,230.42
25-02-2022,230.73
24-02-2022,231.66
23-02-2022,230.76
22-02-2022,230.6
21-02-2022,229.53
18-02-2022,229.72
17-02-2022,229.49
16-02-2022,230.52
15-02-2022,230.89
14-02-2022,230.81
11-02-2022,230.34
10-02-2022,230.15
09-02-2022,229.56
08-02-2022,229.61
07-02-2022,229.84
04-02-2022,229.49
03-02-2022,228.63
02-02-2022,228.82
01-02-2022,228.53
31-01-2022,228.18
28-01-2022,228.31
27-01-2022,228.41
26-01-2022,226.85
25-01-2022,225.61
24-01-2022,225
21-01-2022,226.29
20-01-2022,226.96
19-01-2022,227.5
18-01-2022,227.47
17-01-2022,227.05
14-01-2022,226.39
13-01-2022,226.03
12-01-2022,226.81
11-01-2022,227.67
10-01-2022,227.16
07-01-2022,227.54
06-01-2022,227.93
05-01-2022,227.07
04-01-2022,227.05
31-12-2021,225.19
30-12-2021,225.68
29-12-2021,225.6
24-12-2021,224.3
23-12-2021,224.46
22-12-2021,224.89
21-12-2021,224.81
20-12-2021,225.26
17-12-2021,225.25
16-12-2021,225.31
15-12-2021,225.07
14-12-2021,224.6
13-12-2021,224.51
10-12-2021,224.71
09-12-2021,224.85
08-12-2021,225.25
07-12-2021,224.94
06-12-2021,223.67
03-12-2021,223.31
02-12-2021,223.29
01-12-2021,223.48
30-11-2021,223.82
29-11-2021,224.89
26-11-2021,224.08
25-11-2021,227.66
24-11-2021,228.08
23-11-2021,227.85
22-11-2021,226.33
19-11-2021,225.6
18-11-2021,225.74
17-11-2021,226.02
16-11-2021,225.8
15-11-2021,225.16
12-11-2021,225.13
11-11-2021,225.45
10-11-2021,224.86
09-11-2021,224.36
08-11-2021,224.78
05-11-2021,224.71
04-11-2021,224.86
