Date,DB Equity Low Beta Factor 2.0 USD Excess Return Index
21-09-2022,2914.96
20-09-2022,2915.58
19-09-2022,2929.51
16-09-2022,2933.39
15-09-2022,2916.56
14-09-2022,2936.91
13-09-2022,2954.59
12-09-2022,2968.63
09-09-2022,2965.79
08-09-2022,2968.92
07-09-2022,2978.55
06-09-2022,2963.41
05-09-2022,2972.8
02-09-2022,2971.2
01-09-2022,2984.97
31-08-2022,2965.19
30-08-2022,2979.06
29-08-2022,2989.53
26-08-2022,2992.7
25-08-2022,3003.86
24-08-2022,3014.73
23-08-2022,3023.52
22-08-2022,3056.52
19-08-2022,3048.95
18-08-2022,3029.36
17-08-2022,3032.59
16-08-2022,3017.42
15-08-2022,3002.94
12-08-2022,2976.64
11-08-2022,2978.86
10-08-2022,2993.82
09-08-2022,3012.14
08-08-2022,2991.49
05-08-2022,2994.11
04-08-2022,2999.76
03-08-2022,3002.47
02-08-2022,3015.27
01-08-2022,3027.44
29-07-2022,3031.49
28-07-2022,3035.1
27-07-2022,3025.87
26-07-2022,3052.86
25-07-2022,3026.67
22-07-2022,3025.93
21-07-2022,2997.57
20-07-2022,2993.82
19-07-2022,3030.39
18-07-2022,3044.95
15-07-2022,3072.4
14-07-2022,3077.42
13-07-2022,3086.94
12-07-2022,3090.11
11-07-2022,3096.34
08-07-2022,3071.1
07-07-2022,3078.67
06-07-2022,3101.62
05-07-2022,3074.86
04-07-2022,3097.06
01-07-2022,3082.9
30-06-2022,3062.31
29-06-2022,3054.87
28-06-2022,3033.13
27-06-2022,3035.74
24-06-2022,3030.26
23-06-2022,3012.01
22-06-2022,2987.58
21-06-2022,2974.88
20-06-2022,2964.59
17-06-2022,2956.98
16-06-2022,2958.59
15-06-2022,2945.08
14-06-2022,2955.75
13-06-2022,2989.38
10-06-2022,2988.89
09-06-2022,2971.12
08-06-2022,2978.48
07-06-2022,2992.1
06-06-2022,2992.68
03-06-2022,2997.83
02-06-2022,2993.03
01-06-2022,3009.27
31-05-2022,3013.17
30-05-2022,3023.59
27-05-2022,3021.54
26-05-2022,3026.35
25-05-2022,3046.35
24-05-2022,3058.33
23-05-2022,3016.16
20-05-2022,3004.03
19-05-2022,2987.11
18-05-2022,3002.96
17-05-2022,3037.26
16-05-2022,3056.82
13-05-2022,3030.17
12-05-2022,3040.84
11-05-2022,3048.1
10-05-2022,3036.13
09-05-2022,3037.91
06-05-2022,3037.1
05-05-2022,3035.03
04-05-2022,3031.94
03-05-2022,3026.48
02-05-2022,3030.97
29-04-2022,3060.17
28-04-2022,3082.41
27-04-2022,3078.42
26-04-2022,3074.88
25-04-2022,3081.41
22-04-2022,3078.54
21-04-2022,3089.13
20-04-2022,3085.46
19-04-2022,3069.32
18-04-2022,3078.69
15-04-2022,3094.12
14-04-2022,3094.36
13-04-2022,3090.16
12-04-2022,3102.59
11-04-2022,3107.91
08-04-2022,3119.9
07-04-2022,3105.11
06-04-2022,3077.7
05-04-2022,3042.66
04-04-2022,3008.36
01-04-2022,3014.57
31-03-2022,2993.01
30-03-2022,2993.67
29-03-2022,2972.23
28-03-2022,2976.53
25-03-2022,2961.74
24-03-2022,2944.97
23-03-2022,2942.79
22-03-2022,2943.3
21-03-2022,2953.78
18-03-2022,2953.63
17-03-2022,2953.4
16-03-2022,2942.22
15-03-2022,2955.2
14-03-2022,2944.52
11-03-2022,2934.02
10-03-2022,2940.06
09-03-2022,2938.96
08-03-2022,2937.18
07-03-2022,2993.7
04-03-2022,2971.64
03-03-2022,2934.89
02-03-2022,2923.29
01-03-2022,2931
28-02-2022,2903.82
25-02-2022,2894.67
24-02-2022,2872.72
23-02-2022,2867.78
22-02-2022,2871.12
21-02-2022,2869.95
18-02-2022,2871.16
17-02-2022,2871.47
16-02-2022,2863
15-02-2022,2879.18
14-02-2022,2883.66
11-02-2022,2889.94
10-02-2022,2886.56
09-02-2022,2908.49
08-02-2022,2902.55
07-02-2022,2911.78
04-02-2022,2914.47
03-02-2022,2923.29
02-02-2022,2935.05
01-02-2022,2917.2
31-01-2022,2929.68
28-01-2022,2924.36
27-01-2022,2898.03
26-01-2022,2887.87
25-01-2022,2912
24-01-2022,2928.82
21-01-2022,2933.24
20-01-2022,2933.47
19-01-2022,2931.58
18-01-2022,2912.23
17-01-2022,2915.86
14-01-2022,2913.05
13-01-2022,2926.09
12-01-2022,2952.26
11-01-2022,2958.53
10-01-2022,2962.26
07-01-2022,2966.19
06-01-2022,2975.43
05-01-2022,2999.64
04-01-2022,3015.6
03-01-2022,3049.1
31-12-2021,3067.84
30-12-2021,3073.19
29-12-2021,3069.1
28-12-2021,3060.49
27-12-2021,3049.63
24-12-2021,3044.57
23-12-2021,3045.48
22-12-2021,3046.65
21-12-2021,3047.12
20-12-2021,3063.64
17-12-2021,3053.86
16-12-2021,3050.51
15-12-2021,3033.14
14-12-2021,3011.01
13-12-2021,3022.98
10-12-2021,2986.7
09-12-2021,2977.82
08-12-2021,2976.42
07-12-2021,2982.21
06-12-2021,2973.98
03-12-2021,2970.94
02-12-2021,2961.83
01-12-2021,2958.34
30-11-2021,2976.06
29-11-2021,3006.56
