Date,DB Equity Momentum Factor 2.0 USD Excess Return Index
21-09-2022,3367.07
20-09-2022,3376.8
19-09-2022,3367.87
16-09-2022,3343.46
15-09-2022,3338.05
14-09-2022,3345.58
13-09-2022,3306.36
12-09-2022,3292.03
09-09-2022,3305.29
08-09-2022,3321.19
07-09-2022,3322.7
06-09-2022,3340.64
05-09-2022,3343.36
02-09-2022,3328.93
01-09-2022,3317.42
31-08-2022,3319.97
30-08-2022,3326.74
29-08-2022,3361.36
26-08-2022,3340.4
25-08-2022,3330.85
24-08-2022,3308.72
23-08-2022,3299.95
22-08-2022,3244.03
19-08-2022,3220.69
18-08-2022,3216.35
17-08-2022,3180.63
16-08-2022,3157.11
15-08-2022,3147.8
12-08-2022,3177.78
11-08-2022,3166.46
10-08-2022,3141.56
09-08-2022,3161.22
08-08-2022,3107.09
05-08-2022,3106.89
04-08-2022,3081.91
03-08-2022,3121.15
02-08-2022,3171.17
01-08-2022,3191.08
29-07-2022,3219.69
28-07-2022,3195.11
27-07-2022,3199.35
26-07-2022,3203.64
25-07-2022,3165.76
22-07-2022,3103.49
21-07-2022,3088.96
20-07-2022,3120.39
19-07-2022,3161.14
18-07-2022,3157.72
15-07-2022,3146.42
14-07-2022,3158.66
13-07-2022,3156.11
12-07-2022,3148.41
11-07-2022,3163.04
08-07-2022,3117.63
07-07-2022,3102.41
06-07-2022,3098.42
05-07-2022,3120.93
04-07-2022,3216.87
01-07-2022,3206.89
30-06-2022,3243.34
29-06-2022,3231.36
28-06-2022,3231.17
27-06-2022,3177.75
24-06-2022,3139.8
23-06-2022,3166.72
22-06-2022,3243.65
21-06-2022,3287.43
20-06-2022,3259.4
17-06-2022,3264.76
16-06-2022,3326.8
15-06-2022,3315.14
14-06-2022,3360.16
13-06-2022,3356.29
10-06-2022,3340.99
09-06-2022,3318.42
08-06-2022,3311.6
07-06-2022,3330.64
06-06-2022,3310
03-06-2022,3323.13
02-06-2022,3293.69
01-06-2022,3321.79
31-05-2022,3301.04
30-05-2022,3306.66
27-05-2022,3315.54
26-05-2022,3322.2
25-05-2022,3356.31
24-05-2022,3374.79
23-05-2022,3305.78
20-05-2022,3282.6
19-05-2022,3272.95
18-05-2022,3301.75
17-05-2022,3306.45
16-05-2022,3326.96
13-05-2022,3289.13
12-05-2022,3319.82
11-05-2022,3351.06
10-05-2022,3315.74
09-05-2022,3315.17
06-05-2022,3331.98
05-05-2022,3301.43
04-05-2022,3268.79
03-05-2022,3261.19
02-05-2022,3252.85
29-04-2022,3286.61
28-04-2022,3306.98
27-04-2022,3315.1
26-04-2022,3298.25
25-04-2022,3276.34
22-04-2022,3302.77
21-04-2022,3318.67
20-04-2022,3334.76
19-04-2022,3295.59
18-04-2022,3323.49
15-04-2022,3308.58
14-04-2022,3306.85
13-04-2022,3292.09
12-04-2022,3298.88
11-04-2022,3290.54
08-04-2022,3297.39
07-04-2022,3274.84
06-04-2022,3239.87
05-04-2022,3188.66
04-04-2022,3156.56
01-04-2022,3193.03
31-03-2022,3186.07
30-03-2022,3169.09
29-03-2022,3127.08
28-03-2022,3176.51
25-03-2022,3174.73
24-03-2022,3148.78
23-03-2022,3153.56
22-03-2022,3132.83
21-03-2022,3154.13
18-03-2022,3125
17-03-2022,3145.77
16-03-2022,3140.88
15-03-2022,3190.02
14-03-2022,3187.8
11-03-2022,3153.3
10-03-2022,3134.92
09-03-2022,3108.86
08-03-2022,3131.6
07-03-2022,3196.28
04-03-2022,3151.81
03-03-2022,3104.41
02-03-2022,3055.56
01-03-2022,3068.29
28-02-2022,3025.65
25-02-2022,3025.54
24-02-2022,3010
23-02-2022,3037.35
22-02-2022,3024.66
21-02-2022,3025.18
18-02-2022,3028.83
17-02-2022,3020.46
16-02-2022,3003.59
15-02-2022,2988.9
14-02-2022,3008.76
11-02-2022,3022.97
10-02-2022,3023.88
09-02-2022,3034.41
08-02-2022,3026.27
07-02-2022,3045.51
04-02-2022,3053.27
03-02-2022,3069.18
02-02-2022,3074.09
01-02-2022,3038.47
31-01-2022,3046.59
28-01-2022,3049.52
27-01-2022,3022.25
26-01-2022,3024.56
25-01-2022,3036.82
24-01-2022,3053.75
21-01-2022,3068.43
20-01-2022,3071.32
19-01-2022,3064.11
18-01-2022,3061.13
17-01-2022,3068.2
14-01-2022,3061.48
13-01-2022,3087.39
12-01-2022,3122.77
11-01-2022,3111.15
10-01-2022,3122.99
07-01-2022,3138.4
06-01-2022,3155.69
05-01-2022,3196.53
04-01-2022,3210.84
03-01-2022,3245.28
31-12-2021,3283.25
30-12-2021,3285.66
29-12-2021,3288.79
28-12-2021,3281.56
27-12-2021,3271.93
24-12-2021,3263.17
23-12-2021,3263.9
22-12-2021,3266.67
21-12-2021,3265.52
20-12-2021,3285.59
17-12-2021,3276.69
16-12-2021,3287.83
15-12-2021,3268.28
14-12-2021,3243.72
13-12-2021,3263.49
10-12-2021,3231.44
09-12-2021,3227.47
08-12-2021,3223.48
07-12-2021,3227.81
06-12-2021,3198.76
03-12-2021,3228.88
02-12-2021,3215.17
01-12-2021,3241.98
30-11-2021,3250.38
29-11-2021,3258.63
26-11-2021,3264.59
25-11-2021,3229.46
24-11-2021,3226.8
23-11-2021,3232.84
22-11-2021,3249.07
19-11-2021,3258
18-11-2021,3240.3
17-11-2021,3231.57
16-11-2021,3226.1
15-11-2021,3228.69
12-11-2021,3220.88
11-11-2021,3210.32
10-11-2021,3207.1
09-11-2021,3197.68
08-11-2021,3199.44
05-11-2021,3197.06
04-11-2021,3246.14
03-11-2021,3229.64
02-11-2021,3230.76
01-11-2021,3226.66
29-10-2021,3223.76
28-10-2021,3222.93
27-10-2021,3226.97
26-10-2021,3221.98
25-10-2021,3209.97
22-10-2021,3211.64
21-10-2021,3201.66
20-10-2021,3198.51
