Date,DB Equity Quality Factor 2.0 USD Excess Return Index
21-09-2022,1704.26
20-09-2022,1707.27
19-09-2022,1703.35
16-09-2022,1702.56
15-09-2022,1699.84
14-09-2022,1707.7
13-09-2022,1705.96
12-09-2022,1707.93
09-09-2022,1712.37
08-09-2022,1710.65
07-09-2022,1713.79
06-09-2022,1720.65
05-09-2022,1718.81
02-09-2022,1719.67
01-09-2022,1717.53
31-08-2022,1714.39
30-08-2022,1715.94
29-08-2022,1719.25
26-08-2022,1722.04
25-08-2022,1723.34
24-08-2022,1723.06
23-08-2022,1730.64
22-08-2022,1730.53
19-08-2022,1730.92
18-08-2022,1729.04
17-08-2022,1723.83
16-08-2022,1716.42
15-08-2022,1714.84
12-08-2022,1714.44
11-08-2022,1717.76
10-08-2022,1711.47
09-08-2022,1718.02
08-08-2022,1710.22
05-08-2022,1711.39
04-08-2022,1716.25
03-08-2022,1713.38
02-08-2022,1714.85
01-08-2022,1723.11
29-07-2022,1725.22
28-07-2022,1717.31
27-07-2022,1713.16
26-07-2022,1715.72
25-07-2022,1711.42
22-07-2022,1708.38
21-07-2022,1709.64
20-07-2022,1707.31
19-07-2022,1714.71
18-07-2022,1714.99
15-07-2022,1718.38
14-07-2022,1714.56
13-07-2022,1707.67
12-07-2022,1700.47
11-07-2022,1699.55
08-07-2022,1692.88
07-07-2022,1690.64
06-07-2022,1691.58
05-07-2022,1682.53
04-07-2022,1690.63
01-07-2022,1689.83
30-06-2022,1695.33
29-06-2022,1692.8
28-06-2022,1689.3
27-06-2022,1682.32
24-06-2022,1675.44
23-06-2022,1669.29
22-06-2022,1678.41
21-06-2022,1686.79
20-06-2022,1684.19
17-06-2022,1687.49
16-06-2022,1698.89
15-06-2022,1699.92
14-06-2022,1708.51
13-06-2022,1704.78
10-06-2022,1698.64
09-06-2022,1704.34
08-06-2022,1697.71
07-06-2022,1703.32
06-06-2022,1702.12
03-06-2022,1705.72
02-06-2022,1701.06
01-06-2022,1706.13
31-05-2022,1703.49
30-05-2022,1699.76
27-05-2022,1696.92
26-05-2022,1695.95
25-05-2022,1701.57
24-05-2022,1703.35
23-05-2022,1700.84
20-05-2022,1688.66
19-05-2022,1692.45
18-05-2022,1701
17-05-2022,1706.87
16-05-2022,1709.48
13-05-2022,1702.87
12-05-2022,1711.1
11-05-2022,1713.21
10-05-2022,1700.34
09-05-2022,1691.96
06-05-2022,1683.11
05-05-2022,1675.15
04-05-2022,1671.91
03-05-2022,1670.15
02-05-2022,1670.09
29-04-2022,1670.2
28-04-2022,1676.4
27-04-2022,1665.73
26-04-2022,1663.37
25-04-2022,1657.48
22-04-2022,1656.83
21-04-2022,1659.59
20-04-2022,1652.67
19-04-2022,1643.43
18-04-2022,1643.77
15-04-2022,1637.82
14-04-2022,1638.22
13-04-2022,1638.39
12-04-2022,1637.22
11-04-2022,1632.17
08-04-2022,1640.31
07-04-2022,1636.13
06-04-2022,1631.34
05-04-2022,1624.87
04-04-2022,1624.77
01-04-2022,1630.55
31-03-2022,1635.4
30-03-2022,1638.49
29-03-2022,1636.4
28-03-2022,1646.29
25-03-2022,1645.7
24-03-2022,1639.38
23-03-2022,1638.74
22-03-2022,1639.27
21-03-2022,1645.36
18-03-2022,1639.35
17-03-2022,1644.41
16-03-2022,1643.44
15-03-2022,1650.7
14-03-2022,1648.6
11-03-2022,1639.05
10-03-2022,1637.42
09-03-2022,1631.34
08-03-2022,1636.75
07-03-2022,1645.85
04-03-2022,1653.54
03-03-2022,1644.4
02-03-2022,1632.48
01-03-2022,1625.26
28-02-2022,1619.33
25-02-2022,1624.35
24-02-2022,1624.53
23-02-2022,1633.32
22-02-2022,1630.63
21-02-2022,1635.54
18-02-2022,1635.89
17-02-2022,1624.58
16-02-2022,1617.53
15-02-2022,1613.6
14-02-2022,1620.3
11-02-2022,1624.99
10-02-2022,1620.73
09-02-2022,1623.98
08-02-2022,1625.31
07-02-2022,1628.04
04-02-2022,1638.11
03-02-2022,1646.07
02-02-2022,1645.11
01-02-2022,1627.26
31-01-2022,1632.31
28-01-2022,1641.36
27-01-2022,1636.74
26-01-2022,1633.81
25-01-2022,1632.34
