Date,DB Equity Value Factor 2.0 USD Excess Return Index
21-09-2022,2649.08
20-09-2022,2643.97
19-09-2022,2647.48
16-09-2022,2645.77
15-09-2022,2622.65
14-09-2022,2615.89
13-09-2022,2639.41
12-09-2022,2635.46
09-09-2022,2635.09
08-09-2022,2639.42
07-09-2022,2660.84
06-09-2022,2684.73
05-09-2022,2685.29
02-09-2022,2694.35
01-09-2022,2689.57
31-08-2022,2669.07
30-08-2022,2672.12
29-08-2022,2677.88
26-08-2022,2667.07
25-08-2022,2658.39
24-08-2022,2659.27
23-08-2022,2687.21
22-08-2022,2682.81
19-08-2022,2685.06
18-08-2022,2666.32
17-08-2022,2653.81
16-08-2022,2656.15
15-08-2022,2646.61
12-08-2022,2664.72
11-08-2022,2671.94
10-08-2022,2651.27
09-08-2022,2664.84
08-08-2022,2660.26
05-08-2022,2658.74
04-08-2022,2666.19
03-08-2022,2666.92
02-08-2022,2678.54
01-08-2022,2718.43
29-07-2022,2726.89
28-07-2022,2733.56
27-07-2022,2766.81
26-07-2022,2787.14
25-07-2022,2773.08
22-07-2022,2760.48
21-07-2022,2746.95
20-07-2022,2754.56
19-07-2022,2783.5
18-07-2022,2765.37
15-07-2022,2764.98
14-07-2022,2766.92
13-07-2022,2771.42
12-07-2022,2766.49
11-07-2022,2743.04
08-07-2022,2726.86
07-07-2022,2716.25
06-07-2022,2720.61
05-07-2022,2723.6
04-07-2022,2775.27
01-07-2022,2776.72
30-06-2022,2795.23
29-06-2022,2798.56
28-06-2022,2798.56
27-06-2022,2765.5
24-06-2022,2748.19
23-06-2022,2780.56
22-06-2022,2836.61
21-06-2022,2858.94
20-06-2022,2870.97
17-06-2022,2876.21
16-06-2022,2918.17
15-06-2022,2898.26
14-06-2022,2926.41
13-06-2022,2900.24
10-06-2022,2852.33
09-06-2022,2835.47
08-06-2022,2803.66
07-06-2022,2828.29
06-06-2022,2833.76
03-06-2022,2840.49
02-06-2022,2820.06
01-06-2022,2878.44
31-05-2022,2851.02
30-05-2022,2817.86
27-05-2022,2832.83
26-05-2022,2869.05
25-05-2022,2893.34
24-05-2022,2897.5
23-05-2022,2844.66
20-05-2022,2832.59
19-05-2022,2835.83
18-05-2022,2870.53
17-05-2022,2851.99
16-05-2022,2845.77
13-05-2022,2813.88
12-05-2022,2884.59
11-05-2022,2879.38
10-05-2022,2851.63
09-05-2022,2856.43
06-05-2022,2755.26
05-05-2022,2708.68
04-05-2022,2682.24
03-05-2022,2675.27
02-05-2022,2645.29
29-04-2022,2643.31
28-04-2022,2633.46
27-04-2022,2626.33
26-04-2022,2622.16
25-04-2022,2598.93
22-04-2022,2606.67
21-04-2022,2607.9
20-04-2022,2571.75
19-04-2022,2530.8
18-04-2022,2535.05
15-04-2022,2513.7
14-04-2022,2511.62
13-04-2022,2490.47
12-04-2022,2507.6
11-04-2022,2497.1
08-04-2022,2478.52
07-04-2022,2444.4
06-04-2022,2436.74
05-04-2022,2402.92
04-04-2022,2406.21
01-04-2022,2432.34
31-03-2022,2446.43
30-03-2022,2460.12
29-03-2022,2460.33
28-03-2022,2489.35
25-03-2022,2508.29
24-03-2022,2486.44
23-03-2022,2498.49
22-03-2022,2500.89
21-03-2022,2517.51
18-03-2022,2500.06
17-03-2022,2537.48
16-03-2022,2565.93
15-03-2022,2606.16
14-03-2022,2618.12
11-03-2022,2581.09
10-03-2022,2540.94
09-03-2022,2532.37
08-03-2022,2554.42
07-03-2022,2548.95
04-03-2022,2536.71
03-03-2022,2521.13
02-03-2022,2484.95
01-03-2022,2474.66
28-02-2022,2477.5
25-02-2022,2508.55
24-02-2022,2510.87
23-02-2022,2583.24
22-02-2022,2559.69
21-02-2022,2570.08
18-02-2022,2568.7
17-02-2022,2532.85
16-02-2022,2495.05
15-02-2022,2480.04
14-02-2022,2512.53
11-02-2022,2511.59
10-02-2022,2473
09-02-2022,2478.76
08-02-2022,2516.28
07-02-2022,2513.32
04-02-2022,2516.8
03-02-2022,2560.14
02-02-2022,2508.17
01-02-2022,2484.59
31-01-2022,2496.81
28-01-2022,2559.4
27-01-2022,2579.41
26-01-2022,2549.92
25-01-2022,2546.7
24-01-2022,2506.38
21-01-2022,2507.56
20-01-2022,2489.24
19-01-2022,2508.63
18-01-2022,2510.31
17-01-2022,2489.85
14-01-2022,2489.28
13-01-2022,2466.62
12-01-2022,2404.25
11-01-2022,2398.36
10-01-2022,2410.63
07-01-2022,2390.67
06-01-2022,2365.04
05-01-2022,2349.78
04-01-2022,2290.87
03-01-2022,2237.33
31-12-2021,2227.89
30-12-2021,2219.35
29-12-2021,2233.56
28-12-2021,2223.4
27-12-2021,2209.93
24-12-2021,2200.21
23-12-2021,2202.42
22-12-2021,2199.04
21-12-2021,2203.65
20-12-2021,2223.02
17-12-2021,2227.67
16-12-2021,2244.99
15-12-2021,2214.16
14-12-2021,2220.91
13-12-2021,2193.4
10-12-2021,2188.14
09-12-2021,2166.95
08-12-2021,2143.76
07-12-2021,2168.36
06-12-2021,2194.23
03-12-2021,2187.3
02-12-2021,2142.31
01-12-2021,2136.19
30-11-2021,2095.73
29-11-2021,2101.29
26-11-2021,2107.46
25-11-2021,2111.51
24-11-2021,2113.97
23-11-2021,2118.72
22-11-2021,2093.7
19-11-2021,2061.92
18-11-2021,2065.39
17-11-2021,2064.05
16-11-2021,2058.07
15-11-2021,2065.86
12-11-2021,2072.35
11-11-2021,2079.47
10-11-2021,2073.38
09-11-2021,2046.59
08-11-2021,2043.73
05-11-2021,2052.46
04-11-2021,2047.97
03-11-2021,2059.28
02-11-2021,2049.92
01-11-2021,2049.1
29-10-2021,2051.01
28-10-2021,2054.63
27-10-2021,2061.99
26-10-2021,2059.54
25-10-2021,2068.4
22-10-2021,2071.15
21-10-2021,2067.54
20-10-2021,2080.43
19-10-2021,2070.76
18-10-2021,2079.53
15-10-2021,2090.02
14-10-2021,2090.45
13-10-2021,2086.33
12-10-2021,2111.47
11-10-2021,2129.71
08-10-2021,2122.28
07-10-2021,2109.45
06-10-2021,2110.55
05-10-2021,2120.24
04-10-2021,2118.43
01-10-2021,2090.25
30-09-2021,2102.69
29-09-2021,2126.11
28-09-2021,2112.38
27-09-2021,2080.63
24-09-2021,2051.89
23-09-2021,2037.41
22-09-2021,2039.27
21-09-2021,2038.75
20-09-2021,2051.97
17-09-2021,2055.04
16-09-2021,2066.84
15-09-2021,2080.74
14-09-2021,2068.85
13-09-2021,2075.53
10-09-2021,2054.53
09-09-2021,2054.44
08-09-2021,2060.61
07-09-2021,2058.04
06-09-2021,2066.35
03-09-2021,2068.24
02-09-2021,2070.13
01-09-2021,2067.62
31-08-2021,2083.93
30-08-2021,2088.02
27-08-2021,2089.35
26-08-2021,2092.03
25-08-2021,2089.05
24-08-2021,2095.49
23-08-2021,2113.08
20-08-2021,2127.27
19-08-2021,2138.01
18-08-2021,2146.89
17-08-2021,2154.9
16-08-2021,2157.15
13-08-2021,2144.47
12-08-2021,2143.22
11-08-2021,2143.72
10-08-2021,2119.86
09-08-2021,2114.03
06-08-2021,2118.27
05-08-2021,2104.97
04-08-2021,2134.22
03-08-2021,2154.74
02-08-2021,2139.5
30-07-2021,2135.62
29-07-2021,2130.29
28-07-2021,2112.8
27-07-2021,2130.09
26-07-2021,2124.42
23-07-2021,2119.82
