Date,DB Rates Diversified Strategy 016 USD Index
22-09-2022,173.472
21-09-2022,173.2982
20-09-2022,172.9995
16-09-2022,173.7339
15-09-2022,174.3267
14-09-2022,173.8297
13-09-2022,174.1126
12-09-2022,173.5966
09-09-2022,173.2025
08-09-2022,173.6444
07-09-2022,173.6041
06-09-2022,174.0911
02-09-2022,173.9728
01-09-2022,173.7752
31-08-2022,173.262
30-08-2022,172.8062
26-08-2022,173.7932
25-08-2022,175.1212
24-08-2022,174.9578
23-08-2022,174.4456
22-08-2022,174.9147
19-08-2022,175.9339
18-08-2022,176.9198
17-08-2022,177.3827
16-08-2022,177.7346
15-08-2022,177.547
12-08-2022,177.1239
11-08-2022,176.9956
10-08-2022,177.152
09-08-2022,177.0343
08-08-2022,177.1537
05-08-2022,177.5923
04-08-2022,178.0026
03-08-2022,178.4815
02-08-2022,177.7961
01-08-2022,177.1234
29-07-2022,177.6197
28-07-2022,177.2172
27-07-2022,176.5152
26-07-2022,175.7312
25-07-2022,175.0136
22-07-2022,173.9603
21-07-2022,172.1022
20-07-2022,172.3595
19-07-2022,172.146
18-07-2022,172.9478
15-07-2022,173.1443
14-07-2022,172.9322
13-07-2022,173.4532
12-07-2022,172.9735
11-07-2022,171.7037
08-07-2022,172.1369
07-07-2022,171.8435
06-07-2022,172.6765
05-07-2022,169.3313
01-07-2022,169.5782
30-06-2022,168.6817
29-06-2022,167.1811
28-06-2022,166.5325
27-06-2022,167.5801
24-06-2022,168.2819
23-06-2022,167.4713
22-06-2022,164.5698
21-06-2022,164.7758
17-06-2022,164.5511
16-06-2022,163.7388
15-06-2022,164.6756
14-06-2022,165.2069
13-06-2022,168.9809
10-06-2022,171.2052
09-06-2022,171.626
08-06-2022,171.8177
07-06-2022,172.6276
06-06-2022,173.8212
01-06-2022,174.8809
31-05-2022,175.3356
27-05-2022,177.0007
26-05-2022,176.9055
25-05-2022,177.2934
24-05-2022,176.8772
23-05-2022,177.4118
20-05-2022,177.0492
19-05-2022,176.4994
18-05-2022,175.9988
17-05-2022,175.5378
16-05-2022,175.727
13-05-2022,175.2358
12-05-2022,175.4698
11-05-2022,172.5897
10-05-2022,171.9862
09-05-2022,171.3923
06-05-2022,172.5813
05-05-2022,175.4855
04-05-2022,174.9722
03-05-2022,176.0219
29-04-2022,177.317
28-04-2022,177.8844
27-04-2022,178.6434
26-04-2022,178.0921
25-04-2022,178.0105
22-04-2022,177.4939
21-04-2022,179.807
20-04-2022,179.6356
19-04-2022,179.7052
14-04-2022,180.7729
13-04-2022,180.2195
12-04-2022,179.4465
11-04-2022,181.1368
08-04-2022,183.157
07-04-2022,183.3928
06-04-2022,183.4878
05-04-2022,185.1367
04-04-2022,185.7854
01-04-2022,185.3366
31-03-2022,185.5808
30-03-2022,183.7223
29-03-2022,183.5077
28-03-2022,185.1375
25-03-2022,188.1444
24-03-2022,187.5896
23-03-2022,188.7371
22-03-2022,188.9238
21-03-2022,189.9711
18-03-2022,189.9163
17-03-2022,190.2712
16-03-2022,190.3539
15-03-2022,189.9167
14-03-2022,190.2609
11-03-2022,191.003
10-03-2022,192.179
09-03-2022,193.0501
08-03-2022,194.129
07-03-2022,195.1607
04-03-2022,194.3175
03-03-2022,195.9507
02-03-2022,196.5851
01-03-2022,194.3237
28-02-2022,194.0257
25-02-2022,193.8888
24-02-2022,195.9398
23-02-2022,194.2731
22-02-2022,194.8553
18-02-2022,193.5856
17-02-2022,194.4266
16-02-2022,194.9579
15-02-2022,194.595
14-02-2022,195.1874
11-02-2022,195.4515
10-02-2022,196.615
09-02-2022,196.6603
08-02-2022,196.1271
07-02-2022,197.7918
04-02-2022,199.377
03-02-2022,200.8306
02-02-2022,201.2545
01-02-2022,202.1794
31-01-2022,202.6591
28-01-2022,202.8658
27-01-2022,202.7917
26-01-2022,203.526
25-01-2022,203.0981
24-01-2022,202.9247
21-01-2022,203.4798
20-01-2022,203.1703
19-01-2022,202.9083
18-01-2022,203.5929
14-01-2022,203.709
13-01-2022,204.0573
12-01-2022,203.3551
11-01-2022,202.8028
10-01-2022,203.0497
07-01-2022,204.0648
06-01-2022,203.953
05-01-2022,204.3758
04-01-2022,205.2647
31-12-2021,204.8113
30-12-2021,205.3822
29-12-2021,206.5659
24-12-2021,206.7447
23-12-2021,206.7593
22-12-2021,207.5794
21-12-2021,208.2999
20-12-2021,208.5472
17-12-2021,208.39
16-12-2021,207.9893
15-12-2021,208.2099
14-12-2021,208.5734
13-12-2021,207.8127
10-12-2021,207.5097
