Date,JPY
09-09-2022,142.66
08-09-2022,144.11
07-09-2022,143.74
06-09-2022,142.8
05-09-2022,140.6
02-09-2022,140.2
01-09-2022,140.21
31-08-2022,138.96
30-08-2022,138.79
29-08-2022,138.72
26-08-2022,137.64
25-08-2022,136.49
24-08-2022,137.12
23-08-2022,136.77
22-08-2022,137.48
19-08-2022,136.97
18-08-2022,135.89
17-08-2022,135.05
16-08-2022,134.22
15-08-2022,133.32
12-08-2022,133.42
11-08-2022,133.02
10-08-2022,132.89
09-08-2022,135.05
08-08-2022,134.95
05-08-2022,135.01
04-08-2022,132.89
03-08-2022,133.86
02-08-2022,133.17
01-08-2022,131.61
29-07-2022,133.27
28-07-2022,134.27
27-07-2022,136.57
26-07-2022,136.91
25-07-2022,136.69
22-07-2022,136.12
21-07-2022,137.36
20-07-2022,138.21
19-07-2022,138.19
18-07-2022,138.14
15-07-2022,138.57
14-07-2022,138.96
13-07-2022,137.39
12-07-2022,136.87
11-07-2022,137.44
08-07-2022,136.1
07-07-2022,136.01
06-07-2022,135.95
05-07-2022,135.85
04-07-2022,135.62
01-07-2022,135.21
30-06-2022,135.72
29-06-2022,136.59
28-06-2022,136.14
27-06-2022,135.46
24-06-2022,135.23
23-06-2022,134.95
22-06-2022,136.26
21-06-2022,136.57
20-06-2022,135.07
17-06-2022,135.02
16-06-2022,132.21
15-06-2022,133.84
14-06-2022,135.47
13-06-2022,134.42
10-06-2022,134.41
09-06-2022,134.36
08-06-2022,134.25
07-06-2022,132.59
06-06-2022,131.88
03-06-2022,130.88
02-06-2022,129.84
01-06-2022,130.13
31-05-2022,128.67
30-05-2022,127.59
27-05-2022,127.11
26-05-2022,127.12
25-05-2022,127.32
24-05-2022,126.83
23-05-2022,127.9
20-05-2022,127.88
19-05-2022,127.79
18-05-2022,128.23
17-05-2022,129.38
16-05-2022,129.16
13-05-2022,129.22
12-05-2022,128.34
11-05-2022,129.97
10-05-2022,130.45
09-05-2022,130.29
06-05-2022,130.56
05-05-2022,130.2
04-05-2022,129.09
03-05-2022,130.14
02-05-2022,130.16
29-04-2022,129.7
28-04-2022,130.85
27-04-2022,128.43
26-04-2022,127.23
25-04-2022,128.14
22-04-2022,128.5
21-04-2022,128.38
20-04-2022,127.86
19-04-2022,128.91
18-04-2022,126.99
15-04-2022,126.46
14-04-2022,125.88
13-04-2022,125.62
12-04-2022,125.38
11-04-2022,125.37
08-04-2022,124.34
07-04-2022,123.95
06-04-2022,123.8
05-04-2022,123.6
04-04-2022,122.79
01-04-2022,122.52
31-03-2022,121.7
30-03-2022,121.83
29-03-2022,122.88
28-03-2022,123.86
25-03-2022,122.05
24-03-2022,122.35
23-03-2022,121.15
22-03-2022,120.8
21-03-2022,119.47
18-03-2022,119.17
17-03-2022,118.6
16-03-2022,118.73
15-03-2022,118.3
14-03-2022,118.19
11-03-2022,117.29
10-03-2022,116.14
09-03-2022,115.83
08-03-2022,115.67
07-03-2022,115.32
04-03-2022,114.82
03-03-2022,115.46
02-03-2022,115.52
01-03-2022,114.92
28-02-2022,115
25-02-2022,115.55
24-02-2022,115.53
23-02-2022,115.01
22-02-2022,115.08
21-02-2022,114.74
18-02-2022,115.01
17-02-2022,114.94
16-02-2022,115.52
15-02-2022,115.61
14-02-2022,115.54
11-02-2022,115.42
10-02-2022,116.01
09-02-2022,115.52
08-02-2022,115.55
07-02-2022,115.1
04-02-2022,115.26
03-02-2022,114.97
02-02-2022,114.46
01-02-2022,114.71
31-01-2022,115.11
28-01-2022,115.26
27-01-2022,115.37
26-01-2022,114.64
25-01-2022,113.88
24-01-2022,113.95
21-01-2022,113.68
20-01-2022,114.11
19-01-2022,114.33
18-01-2022,114.61
17-01-2022,114.63
14-01-2022,114.19
13-01-2022,114.2
12-01-2022,114.64
11-01-2022,115.3
10-01-2022,115.2
07-01-2022,115.56
06-01-2022,115.83
05-01-2022,116.11
04-01-2022,116.16
03-01-2022,115.32
31-12-2021,115.08
30-12-2021,115.08
29-12-2021,114.95
28-12-2021,114.82
27-12-2021,114.87
24-12-2021,114.38
23-12-2021,114.39
22-12-2021,114.1
21-12-2021,114.1
20-12-2021,113.61
17-12-2021,113.63
16-12-2021,113.67
15-12-2021,114.04
14-12-2021,113.7
13-12-2021,113.54
10-12-2021,113.44
09-12-2021,113.49
08-12-2021,113.67
07-12-2021,113.6
06-12-2021,113.48
03-12-2021,112.8
02-12-2021,113.11
01-12-2021,112.78
30-11-2021,113.17
29-11-2021,113.53
26-11-2021,113.38
25-11-2021,115.36
24-11-2021,115.43
23-11-2021,115.14
22-11-2021,114.88
19-11-2021,113.99
18-11-2021,114.26
17-11-2021,114.08
16-11-2021,114.82
15-11-2021,114.12
12-11-2021,113.89
11-11-2021,114.06
10-11-2021,113.91
09-11-2021,112.87
08-11-2021,113.23
05-11-2021,113.41
04-11-2021,113.76
03-11-2021,114.01
02-11-2021,113.96
01-11-2021,114
29-10-2021,113.95
28-10-2021,113.58
27-10-2021,113.83
26-10-2021,114.16
25-10-2021,113.71
22-10-2021,113.5
21-10-2021,113.99
20-10-2021,114.31
19-10-2021,114.38
18-10-2021,114.32
15-10-2021,114.22
14-10-2021,113.68
13-10-2021,113.25
12-10-2021,113.61
11-10-2021,113.31
08-10-2021,112.24
07-10-2021,111.63
06-10-2021,111.41
05-10-2021,111.46
04-10-2021,110.93
01-10-2021,111.05
30-09-2021,111.29
29-09-2021,111.96
28-09-2021,111.5
27-09-2021,111
24-09-2021,110.73
23-09-2021,110.33
22-09-2021,109.78
21-09-2021,109.23
20-09-2021,109.44
17-09-2021,109.93
