Date,MSCI All Country World Index
08-09-2022,612.34
07-09-2022,607.73
06-09-2022,602.32
05-09-2022,604.93
02-09-2022,606.98
01-09-2022,608.31
31-08-2022,613.11
30-08-2022,616.75
29-08-2022,621.52
26-08-2022,627.9
25-08-2022,642.97
24-08-2022,634.97
23-08-2022,634.11
22-08-2022,635.46
19-08-2022,646.81
18-08-2022,655.39
17-08-2022,655.07
16-08-2022,659.44
15-08-2022,659.09
12-08-2022,657.57
11-08-2022,650.71
10-08-2022,649.75
09-08-2022,637.7
08-08-2022,640.83
05-08-2022,639.53
04-08-2022,640.94
03-08-2022,639
02-08-2022,633.32
01-08-2022,638.4
29-07-2022,637.72
28-07-2022,630.42
27-07-2022,622.69
26-07-2022,612.23
25-07-2022,617.56
22-07-2022,617.71
21-07-2022,620.42
20-07-2022,616.02
19-07-2022,612.33
18-07-2022,599.81
15-07-2022,598.71
14-07-2022,589.09
13-07-2022,594.35
12-07-2022,596.1
11-07-2022,600.82
08-07-2022,608.58
07-07-2022,607.89
06-07-2022,598.51
05-07-2022,597.74
04-07-2022,600.71
01-07-2022,599.08
30-06-2022,596.77
29-06-2022,603.5
28-06-2022,606.71
27-06-2022,614.59
24-06-2022,612.67
23-06-2022,596.99
22-06-2022,594.43
21-06-2022,597.33
20-06-2022,586.16
17-06-2022,584.55
16-06-2022,585.78
15-06-2022,600.3
14-06-2022,593.77
13-06-2022,597.64
10-06-2022,620.31
09-06-2022,637.77
08-06-2022,650.94
07-06-2022,654.61
06-06-2022,652.13
03-06-2022,649.16
02-06-2022,656.45
01-06-2022,647.87
31-05-2022,652.81
30-05-2022,656.87
27-05-2022,652.84
26-05-2022,639.3
25-05-2022,629.97
24-05-2022,625.72
23-05-2022,631.44
20-05-2022,621.89
19-05-2022,619.58
18-05-2022,623.64
17-05-2022,640.43
16-05-2022,627.86
13-05-2022,629.19
12-05-2022,615.27
11-05-2022,619.54
10-05-2022,624.38
09-05-2022,623.77
06-05-2022,643.67
05-05-2022,650.08
04-05-2022,667.08
03-05-2022,656.13
02-05-2022,653.57
29-04-2022,653.67
28-04-2022,665.8
27-04-2022,653.9
26-04-2022,655.01
25-04-2022,668.61
22-04-2022,671.63
21-04-2022,688.47
20-04-2022,696.27
19-04-2022,694.23
18-04-2022,688.63
15-04-2022,690.21
14-04-2022,690.71
13-04-2022,695.91
12-04-2022,690.06
11-04-2022,692.77
08-04-2022,702.13
07-04-2022,702.39
06-04-2022,703.14
05-04-2022,711.83
04-04-2022,718.79
01-04-2022,712.67
31-03-2022,711.56
30-03-2022,721.11
29-03-2022,723.16
28-03-2022,712.16
25-03-2022,709.58
24-03-2022,708.82
23-03-2022,703.14
22-03-2022,708.21
21-03-2022,700.82
18-03-2022,701.46
17-03-2022,695.25
16-03-2022,683.17
15-03-2022,664.83
14-03-2022,658.61
11-03-2022,663.53
10-03-2022,671.23
09-03-2022,672.53
08-03-2022,655.47
07-03-2022,660.77
04-03-2022,679.32
03-03-2022,690.75
02-03-2022,694.98
01-03-2022,688.59
28-02-2022,698.02
25-02-2022,698.53
24-02-2022,681.96
23-02-2022,686.23
22-02-2022,694.57
21-02-2022,700.9
18-02-2022,703.34
17-02-2022,709.39
16-02-2022,720.1
15-02-2022,717.81
