Date,MSCI Emerging Markets Index
08-09-2022,957.22
07-09-2022,956.51
06-09-2022,965.24
05-09-2022,967.8
02-09-2022,972.02
01-09-2022,976.14
31-08-2022,994.11
30-08-2022,992.76
29-08-2022,991.65
26-08-2022,1006.5
25-08-2022,1003.44
24-08-2022,985.13
23-08-2022,989.54
22-08-2022,991.9
19-08-2022,1001.46
18-08-2022,1009.58
17-08-2022,1015.59
16-08-2022,1014.22
15-08-2022,1015
12-08-2022,1016.83
11-08-2022,1014.29
10-08-2022,997.2
09-08-2022,1001.69
08-08-2022,1001.79
05-08-2022,1002.87
04-08-2022,994.59
03-08-2022,985.81
02-08-2022,984.32
01-08-2022,995.04
29-07-2022,993.78
28-07-2022,997.61
27-07-2022,989.89
26-07-2022,989.92
25-07-2022,987.08
22-07-2022,990.37
21-07-2022,990.69
20-07-2022,986.56
19-07-2022,979.94
18-07-2022,980.48
15-07-2022,961.85
14-07-2022,965.45
13-07-2022,970.46
12-07-2022,967.31
11-07-2022,981.15
08-07-2022,999.57
07-07-2022,994.34
06-07-2022,981.01
05-07-2022,991.47
04-07-2022,992.8
01-07-2022,992.84
30-06-2022,1000.67
29-06-2022,1013.2
28-06-2022,1030.07
27-06-2022,1027.55
24-06-2022,1011.18
23-06-2022,995.34
22-06-2022,993.59
21-06-2022,1016.98
20-06-2022,1000.42
17-06-2022,1004.63
16-06-2022,1008.11
15-06-2022,1020.1
14-06-2022,1017.87
13-06-2022,1016.46
10-06-2022,1054.64
09-06-2022,1067.15
08-06-2022,1073.74
07-06-2022,1061.02
06-06-2022,1071.33
03-06-2022,1060.74
02-06-2022,1061.44
01-06-2022,1067.86
31-05-2022,1077.67
30-05-2022,1065.09
27-05-2022,1043.17
26-05-2022,1022.96
25-05-2022,1019.59
24-05-2022,1016.99
23-05-2022,1034.51
20-05-2022,1035.31
19-05-2022,1014.89
18-05-2022,1033.19
17-05-2022,1030.83
16-05-2022,1007.5
13-05-2022,1004.52
12-05-2022,987.82
11-05-2022,1011.22
10-05-2022,1007.22
09-05-2022,1014.68
06-05-2022,1031.5
05-05-2022,1058.72
04-05-2022,1063.84
03-05-2022,1069.24
02-05-2022,1072.56
29-04-2022,1076.19
28-04-2022,1053.82
27-04-2022,1043.74
26-04-2022,1049.39
25-04-2022,1046.04
22-04-2022,1075.6
21-04-2022,1086.93
20-04-2022,1095.63
19-04-2022,1096
18-04-2022,1106.68
15-04-2022,1112.9
14-04-2022,1117.36
13-04-2022,1119.32
12-04-2022,1110.4
11-04-2022,1111.76
08-04-2022,1127.93
07-04-2022,1126.06
06-04-2022,1142.5
05-04-2022,1156.75
04-04-2022,1161.65
01-04-2022,1145.85
31-03-2022,1141.79
30-03-2022,1149.3
29-03-2022,1136.45
28-03-2022,1124.82
25-03-2022,1125.01
24-03-2022,1136.95
23-03-2022,1140.72
22-03-2022,1131.41
21-03-2022,1115.26
18-03-2022,1122.98
17-03-2022,1120.93
16-03-2022,1081
15-03-2022,1026.77
14-03-2022,1055.01
11-03-2022,1085.66
10-03-2022,1102.74
09-03-2022,1090.67
08-03-2022,1096.05
07-03-2022,1107.3
04-03-2022,1144.91
03-03-2022,1172.56
02-03-2022,1168.41
01-03-2022,1176.43
28-02-2022,1171.31
25-02-2022,1171.99
24-02-2022,1154.86
23-02-2022,1206.86
22-02-2022,1206.63
21-02-2022,1219.46
18-02-2022,1231.77
17-02-2022,1242.92
16-02-2022,1244.19
15-02-2022,1229.05
14-02-2022,1220.42
11-02-2022,1240.51
10-02-2022,1251.09
09-02-2022,1239.79
08-02-2022,1219.81
07-02-2022,1219.33
04-02-2022,1221.1
03-02-2022,1210.27
02-02-2022,1213.23
01-02-2022,1214.01
31-01-2022,1208.23
28-01-2022,1191.14
27-01-2022,1192.06
26-01-2022,1211.45
25-01-2022,1210.45
24-01-2022,1222.16
21-01-2022,1244.31
20-01-2022,1255.74
19-01-2022,1239.83
18-01-2022,1241.58
17-01-2022,1254.4
14-01-2022,1257.46
13-01-2022,1263.3
12-01-2022,1267.34
11-01-2022,1243.04
10-01-2022,1232.27
07-01-2022,1226.1
06-01-2022,1217.07
05-01-2022,1222.74
04-01-2022,1234.95
03-01-2022,1233.5
31-12-2021,1232.01
30-12-2021,1222.75
29-12-2021,1217.93
28-12-2021,1227.12
27-12-2021,1221.76
24-12-2021,1220.55
23-12-2021,1219.59
22-12-2021,1209.88
21-12-2021,1203.66
20-12-2021,1190.08
17-12-2021,1216.3
16-12-2021,1223.89
15-12-2021,1214.5
14-12-2021,1222.1
13-12-2021,1230.61
10-12-2021,1238.54
09-12-2021,1247.71
08-12-2021,1241.01
07-12-2021,1235.56
06-12-2021,1213.96
03-12-2021,1224.64
02-12-2021,1236.19
01-12-2021,1226.81
30-11-2021,1212.42
29-11-2021,1218.99
26-11-2021,1223.13
25-11-2021,1254.69
24-11-2021,1253.15
23-11-2021,1255.39
22-11-2021,1261.56
19-11-2021,1269.22
18-11-2021,1273.87
17-11-2021,1286.87
16-11-2021,1290.55
15-11-2021,1286.82
12-11-2021,1285.48
11-11-2021,1281.4
10-11-2021,1274.39
09-11-2021,1272.95
08-11-2021,1268.82
05-11-2021,1264.07
04-11-2021,1268.45
03-11-2021,1262.46
02-11-2021,1263.96
01-11-2021,1264.54
29-10-2021,1264.75
28-10-2021,1276.07
27-10-2021,1282.89
26-10-2021,1296.06
25-10-2021,1297.26
22-10-2021,1293.14
21-10-2021,1293
20-10-2021,1301.13
19-10-2021,1294.57
18-10-2021,1283.02
15-10-2021,1283.67
14-10-2021,1266.67
13-10-2021,1260.23
12-10-2021,1253.63
11-10-2021,1265.65
08-10-2021,1257.04
07-10-2021,1253.28
06-10-2021,1227.13
05-10-2021,1236.51
04-10-2021,1236.41
01-10-2021,1246.6
30-09-2021,1253.1
29-09-2021,1251.28
28-09-2021,1260.89
27-09-2021,1267.36
24-09-2021,1265.1
23-09-2021,1272.52
22-09-2021,1262.79
21-09-2021,1261.4
20-09-2021,1258.23
17-09-2021,1279.35
16-09-2021,1276.78
15-09-2021,1288.68
14-09-2021,1296.15
13-09-2021,1301.54
10-09-2021,1308.94
09-09-2021,1299.97
08-09-2021,1313.6
07-09-2021,1325.65
06-09-2021,1324.37
03-09-2021,1315.91
02-09-2021,1311.91
01-09-2021,1312.44
31-08-2021,1308.67
30-08-2021,1285.39
27-08-2021,1272.67
26-08-2021,1266.13
25-08-2021,1275.31
24-08-2021,1270.01
23-08-2021,1237.53
20-08-2021,1220.78
19-08-2021,1232.41
18-08-2021,1261.6
17-08-2021,1255.78
16-08-2021,1272.19
13-08-2021,1280.86
12-08-2021,1290.91
11-08-2021,1297.58
10-08-2021,1300.33
09-08-2021,1294.2
06-08-2021,1292.53
05-08-2021,1300.09
04-08-2021,1303.99
03-08-2021,1294.18
02-08-2021,1293.11
30-07-2021,1277.8
29-07-2021,1295.41
28-07-2021,1268.21
27-07-2021,1252.43
26-07-2021,1279.99
23-07-2021,1311.3
22-07-2021,1326.38
21-07-2021,1312.15
20-07-2021,1311.07
19-07-2021,1317.22
16-07-2021,1340.08
15-07-2021,1348.48
14-07-2021,1338.13
13-07-2021,1339.51
12-07-2021,1326.83
09-07-2021,1318.17
08-07-2021,1316.25
07-07-2021,1340.68
06-07-2021,1346.58
05-07-2021,1354.47
02-07-2021,1355.38
01-07-2021,1368.22
30-06-2021,1374.64
29-06-2021,1377.15
28-06-2021,1380.9
25-06-2021,1379.59
24-06-2021,1367.39
23-06-2021,1360.5
22-06-2021,1346.84
21-06-2021,1350.52
18-06-2021,1361.25
17-06-2021,1362.88
16-06-2021,1370
15-06-2021,1378.27
14-06-2021,1383.19
11-06-2021,1381.99
10-06-2021,1378.85
09-06-2021,1372.8
08-06-2021,1377.43
07-06-2021,1380.59
04-06-2021,1381.56
03-06-2021,1383.57
02-06-2021,1388.47
01-06-2021,1390.85
31-05-2021,1376.21
28-05-2021,1360.78
27-05-2021,1354.31
26-05-2021,1351.95
25-05-2021,1345.49
24-05-2021,1326.68
21-05-2021,1330.04
20-05-2021,1329.31
19-05-2021,1327.54
18-05-2021,1333.18
17-05-2021,1311.45
14-05-2021,1307.53
13-05-2021,1292.78
12-05-2021,1315.25
11-05-2021,1329.08
10-05-2021,1346.35
07-05-2021,1348.57
06-05-2021,1340.8
05-05-2021,1333.05
04-05-2021,1334.99
03-05-2021,1338.89
30-04-2021,1347.61
29-04-2021,1364.54
28-04-2021,1364.96
27-04-2021,1361.96
26-04-2021,1360.64
23-04-2021,1353.02
22-04-2021,1341.43
21-04-2021,1336.86
20-04-2021,1347.61
19-04-2021,1348.55
16-04-2021,1348.69
15-04-2021,1341.09
14-04-2021,1336.59
13-04-2021,1323.95
12-04-2021,1322.31
09-04-2021,1330.36
08-04-2021,1343.36
07-04-2021,1338.76
06-04-2021,1346.91
05-04-2021,1338.79
02-04-2021,1338.23
01-04-2021,1335.24
31-03-2021,1316.43
30-03-2021,1319.5
29-03-2021,1310.11
26-03-2021,1307.48
25-03-2021,1288.42
24-03-2021,1298.44
23-03-2021,1323.77
22-03-2021,1336.27
19-03-2021,1336.84
18-03-2021,1347.33
17-03-2021,1342.8
16-03-2021,1349.07
15-03-2021,1340.25
12-03-2021,1348.2
11-03-2021,1357.6
10-03-2021,1324.9
09-03-2021,1317.85
08-03-2021,1308.14
05-03-2021,1339.31
04-03-2021,1346.34
03-03-2021,1378.02
02-03-2021,1359.65
01-03-2021,1362.47
26-02-2021,1339.26
25-02-2021,1383.81
24-02-2021,1376.76
23-02-2021,1398.2
22-02-2021,1397.67
19-02-2021,1430.03
18-02-2021,1425.13
17-02-2021,1444.93
16-02-2021,1442.17
15-02-2021,1437.72
12-02-2021,1428.87
11-02-2021,1427.89
10-02-2021,1422.94
09-02-2021,1409.14
08-02-2021,1399.81
05-02-2021,1395.35
04-02-2021,1387.61
03-02-2021,1392.64
02-02-2021,1381.19
01-02-2021,1361.09
29-01-2021,1329.57
28-01-2021,1350.59
27-01-2021,1371.42
26-01-2021,1388.76
25-01-2021,1410.2
22-01-2021,1392.85
21-01-2021,1406.07
20-01-2021,1400.97
19-01-2021,1381.31
18-01-2021,1358.98
15-01-2021,1358.03
14-01-2021,1370.76
13-01-2021,1364.07
12-01-2021,1353.57
11-01-2021,1349.6
08-01-2021,1353.53
