Date,Momentum
09-09-2022,1003.61
08-09-2022,1007.2
07-09-2022,1009.4
06-09-2022,1011.35
02-09-2022,1009.94
01-09-2022,1008.51
31-08-2022,1010.24
30-08-2022,1010.36
29-08-2022,1012.14
26-08-2022,1011.04
25-08-2022,1006.2
24-08-2022,1009.22
23-08-2022,1009.67
22-08-2022,1006.1
19-08-2022,1000.92
18-08-2022,994.22
17-08-2022,991.48
16-08-2022,984.49
15-08-2022,984.98
12-08-2022,984.44
11-08-2022,986.14
10-08-2022,987.9
09-08-2022,992.79
08-08-2022,983.93
05-08-2022,986.77
04-08-2022,984.53
03-08-2022,984.31
02-08-2022,990.56
01-08-2022,991.36
29-07-2022,992.63
28-07-2022,990.61
27-07-2022,988.78
26-07-2022,993.01
25-07-2022,987.63
22-07-2022,984.15
21-07-2022,980.05
20-07-2022,982.18
19-07-2022,988.18
18-07-2022,992.17
15-07-2022,993.66
14-07-2022,996.42
13-07-2022,994.91
12-07-2022,993.33
11-07-2022,998.35
08-07-2022,991.93
07-07-2022,987.88
06-07-2022,990.33
05-07-2022,988.99
01-07-2022,998.71
30-06-2022,1003.45
29-06-2022,1001.15
28-06-2022,999.11
27-06-2022,996.5
24-06-2022,992.19
23-06-2022,994.15
22-06-2022,1003.14
21-06-2022,1007.76
17-06-2022,1004.22
16-06-2022,1008.81
15-06-2022,1006.79
14-06-2022,1011.76
13-06-2022,1009.96
10-06-2022,1007.04
09-06-2022,1002.88
08-06-2022,1000.36
07-06-2022,1003.56
06-06-2022,1002.28
03-06-2022,1002.16
02-06-2022,998.15
01-06-2022,1003.21
31-05-2022,999.07
27-05-2022,998.59
26-05-2022,999.84
25-05-2022,1000.07
24-05-2022,1001.02
23-05-2022,997.72
20-05-2022,994.33
19-05-2022,995.18
18-05-2022,997.86
17-05-2022,1000.02
16-05-2022,1003.45
13-05-2022,1000.19
12-05-2022,1005.56
11-05-2022,1013.62
10-05-2022,1007.74
09-05-2022,1000.86
06-05-2022,1005.25
05-05-2022,1005.61
04-05-2022,1004.55
03-05-2022,1007.27
02-05-2022,1006.66
29-04-2022,1013.12
28-04-2022,1013.65
27-04-2022,1015.15
26-04-2022,1011.75
25-04-2022,1010.35
22-04-2022,1011.51
21-04-2022,1013.85
20-04-2022,1016.15
19-04-2022,1010.62
18-04-2022,1013.34
14-04-2022,1011.1
13-04-2022,1009.89
12-04-2022,1007.94
11-04-2022,1006.54
08-04-2022,1008.5
07-04-2022,1008.32
06-04-2022,1005.78
05-04-2022,1003.62
04-04-2022,1001.45
01-04-2022,1006.7
31-03-2022,1007.78
30-03-2022,1004.3
29-03-2022,1002.72
28-03-2022,1009.4
25-03-2022,1007.8
24-03-2022,1005.7
23-03-2022,1004.82
22-03-2022,1002.65
21-03-2022,1004.06
18-03-2022,1001.99
17-03-2022,1002.92
16-03-2022,1005.74
15-03-2022,1008.93
14-03-2022,1009.77
11-03-2022,1006.06
10-03-2022,1002.62
09-03-2022,1000.48
08-03-2022,998.34
07-03-2022,998.54
04-03-2022,1005.68
03-03-2022,1007.17
02-03-2022,1007.36
01-03-2022,999.43
28-02-2022,1003.67
25-02-2022,1007.14
24-02-2022,1005.93
23-02-2022,1006.29
22-02-2022,1007.72
18-02-2022,1007.72
17-02-2022,1006.4
16-02-2022,1005.93
15-02-2022,1000.96
14-02-2022,1003.47
11-02-2022,1003.14
10-02-2022,1006.83
09-02-2022,1005.09
08-02-2022,1003.95
07-02-2022,1001.76
04-02-2022,1000.63
03-02-2022,1001.39
02-02-2022,1000.5
01-02-2022,995.71
31-01-2022,994.73
28-01-2022,996.41
27-01-2022,994.73
26-01-2022,996.41
25-01-2022,990.98
24-01-2022,982.75
21-01-2022,976.06
20-01-2022,974.77
19-01-2022,976.87
18-01-2022,979.43
14-01-2022,982.86
13-01-2022,983.16
12-01-2022,987.75
11-01-2022,983.84
10-01-2022,985.28
07-01-2022,985.11
06-01-2022,988.7
05-01-2022,986.19
04-01-2022,990.5
03-01-2022,991
31-12-2021,999.52
30-12-2021,997.76
29-12-2021,1001.36
28-12-2021,999.04
27-12-2021,1001.91
23-12-2021,996.23
22-12-2021,996.81
21-12-2021,994.68
20-12-2021,993.01
17-12-2021,992.67
16-12-2021,994.9
15-12-2021,1000.24
14-12-2021,995.93
13-12-2021,997.69
10-12-2021,1002.27
09-12-2021,1001.06
08-12-2021,1002.91
07-12-2021,1004.75
06-12-2021,997.47
03-12-2021,1003.31
02-12-2021,1008.98
01-12-2021,1008.55
30-11-2021,1012.15
29-11-2021,1015.07
26-11-2021,1010.72
