Date,RMB
09-09-2022,6.9265
08-09-2022,6.9576
07-09-2022,6.9656
06-09-2022,6.9545
05-09-2022,6.934
02-09-2022,6.9
01-09-2022,6.907
31-08-2022,6.8904
30-08-2022,6.9114
29-08-2022,6.9088
26-08-2022,6.8717
25-08-2022,6.8492
24-08-2022,6.8595
23-08-2022,6.835
22-08-2022,6.8483
19-08-2022,6.8176
18-08-2022,6.7863
17-08-2022,6.7811
16-08-2022,6.7882
15-08-2022,6.7735
12-08-2022,6.7428
11-08-2022,6.7448
10-08-2022,6.7238
09-08-2022,6.7527
08-08-2022,6.7512
05-08-2022,6.7619
04-08-2022,6.7493
03-08-2022,6.758
02-08-2022,6.7525
01-08-2022,6.7688
29-07-2022,6.7445
28-07-2022,6.7473
27-07-2022,6.759
26-07-2022,6.7638
25-07-2022,6.7509
22-07-2022,6.7515
21-07-2022,6.7668
20-07-2022,6.7558
19-07-2022,6.7442
18-07-2022,6.7432
15-07-2022,6.7572
14-07-2022,6.7561
13-07-2022,6.7187
12-07-2022,6.7249
11-07-2022,6.719
08-07-2022,6.6946
07-07-2022,6.7007
06-07-2022,6.708
05-07-2022,6.7197
04-07-2022,6.7006
01-07-2022,6.7015
30-06-2022,6.6993
29-06-2022,6.7009
28-06-2022,6.708
27-06-2022,6.6918
24-06-2022,6.6898
23-06-2022,6.699
22-06-2022,6.7023
21-06-2022,6.6895
20-06-2022,6.6925
17-06-2022,6.7167
16-06-2022,6.7044
15-06-2022,6.7149
14-06-2022,6.741
13-06-2022,6.7546
10-06-2022,6.7091
09-06-2022,6.6925
08-06-2022,6.6838
07-06-2022,6.6705
06-06-2022,6.6539
02-06-2022,6.6603
01-06-2022,6.6862
31-05-2022,6.6718
30-05-2022,6.6614
27-05-2022,6.6994
26-05-2022,6.7389
25-05-2022,6.6932
24-05-2022,6.6537
23-05-2022,6.6497
20-05-2022,6.693
19-05-2022,6.7125
18-05-2022,6.7542
17-05-2022,6.7377
16-05-2022,6.7861
13-05-2022,6.7892
12-05-2022,6.7863
11-05-2022,6.7217
10-05-2022,6.7347
09-05-2022,6.7308
06-05-2022,6.6668
