Date,SPGSCI
08-09-2022,633.8049
07-09-2022,630.9653
06-09-2022,647.6579
02-09-2022,651.4505
01-09-2022,648.8166
31-08-2022,665.9277
30-08-2022,676.1042
29-08-2022,702.2286
26-08-2022,688.9634
25-08-2022,683.9437
24-08-2022,691.7416
23-08-2022,684.9276
22-08-2022,672.3314
19-08-2022,670.0947
18-08-2022,665.5502
17-08-2022,657.55
16-08-2022,652.1956
15-08-2022,659.5319
12-08-2022,672.6855
11-08-2022,677.6066
10-08-2022,664.0143
09-08-2022,655.1594
08-08-2022,650.7186
05-08-2022,649.2679
04-08-2022,649.4694
03-08-2022,656.8371
02-08-2022,666.9796
01-08-2022,671.6855
29-07-2022,692.6372
28-07-2022,683.9239
27-07-2022,683.9869
26-07-2022,674.3744
25-07-2022,672.8023
22-07-2022,663.4476
21-07-2022,665.6539
20-07-2022,681.8949
19-07-2022,679.9403
18-07-2022,681.3804
15-07-2022,658.4651
14-07-2022,648.0856
13-07-2022,659.7085
12-07-2022,657.7458
11-07-2022,696.3146
08-07-2022,697.6896
07-07-2022,691.2026
06-07-2022,664.149
05-07-2022,674.6913
01-07-2022,719.6706
30-06-2022,709.2296
29-06-2022,737.1569
28-06-2022,744.9141
27-06-2022,737.1555
24-06-2022,735.0283
23-06-2022,724.6323
22-06-2022,742.0059
21-06-2022,755.442
17-06-2022,753.6103
16-06-2022,783.0701
15-06-2022,776.4697
14-06-2022,781.1694
13-06-2022,794.0697
10-06-2022,804.8042
09-06-2022,816.8141
08-06-2022,818.6304
07-06-2022,814.2722
06-06-2022,816.4387
03-06-2022,808.2956
02-06-2022,800.3395
01-06-2022,793.4769
31-05-2022,786.4548
27-05-2022,792.7475
26-05-2022,785.808
25-05-2022,771.8983
24-05-2022,769.019
23-05-2022,772.167
20-05-2022,765.7641
19-05-2022,766.4433
18-05-2022,754.7263
17-05-2022,772.3788
16-05-2022,776.3981
13-05-2022,759.6836
12-05-2022,744.5298
11-05-2022,745.6619
10-05-2022,723.2401
09-05-2022,733.726
06-05-2022,769.3733
05-05-2022,774.4589
04-05-2022,771.3728
03-05-2022,747.726
02-05-2022,760.612
29-04-2022,756.7522
28-04-2022,757.0509
27-04-2022,749.3502
26-04-2022,742.0331
25-04-2022,726.9372
22-04-2022,745.0018
21-04-2022,754.9683
20-04-2022,751.0522
19-04-2022,749.8822
18-04-2022,776.2818
14-04-2022,764.8988
13-04-2022,751.1527
12-04-2022,734.0225
11-04-2022,706.8127
08-04-2022,720.3641
07-04-2022,709.1071
06-04-2022,713.6079
05-04-2022,734.8278
04-04-2022,737.6629
01-04-2022,721.2066
31-03-2022,724.1862
30-03-2022,750.9223
29-03-2022,731.8058
28-03-2022,746.6321
25-03-2022,781.5925
24-03-2022,774.7572
23-03-2022,782.8545
22-03-2022,754.9986
21-03-2022,755.9546
18-03-2022,725.606
17-03-2022,723.1494
16-03-2022,684.42
15-03-2022,693.0118
14-03-2022,716.1
11-03-2022,740.8351
10-03-2022,727.4788
09-03-2022,745.7283
08-03-2022,822.2992
07-03-2022,803.7454
04-03-2022,783.317
03-03-2022,745.8485
02-03-2022,746.0652
01-03-2022,710.8042
28-02-2022,673.0487
25-02-2022,652.6157
24-02-2022,667.5954
23-02-2022,658.8522
22-02-2022,656.2195
18-02-2022,643.5969
17-02-2022,641.9249
16-02-2022,647.9755
15-02-2022,638.6469
14-02-2022,652.3763
11-02-2022,643.0807
10-02-2022,635.4588
09-02-2022,636.9765
08-02-2022,631.6997
07-02-2022,639.9279
04-02-2022,643.0133
03-02-2022,635.0331
02-02-2022,630.8869
01-02-2022,626.6942
31-01-2022,623.7843
28-01-2022,620.3488
27-01-2022,616.7431
26-01-2022,619.5484
25-01-2022,611.0378
24-01-2022,601.5777
21-01-2022,608.8819
20-01-2022,611.4234
19-01-2022,610.9827
18-01-2022,603.7172
14-01-2022,596.7587
13-01-2022,590.0746
12-01-2022,595.5499
11-01-2022,587.9943
10-01-2022,574.423
07-01-2022,578.1148
06-01-2022,578.041
05-01-2022,575.1459
04-01-2022,570.9828
03-01-2022,564.4832
31-12-2021,561.1805
30-12-2021,567.9702
29-12-2021,568.7981
28-12-2021,566.1752
27-12-2021,566.5306
23-12-2021,558.3459
22-12-2021,553.8638
21-12-2021,544.6407
20-12-2021,530.683
17-12-2021,540.2867
16-12-2021,546.0738
15-12-2021,536.2931
14-12-2021,538.8556
13-12-2021,541.8162
10-12-2021,544.3262
09-12-2021,541.6147
08-12-2021,547.2698
07-12-2021,544.6093
06-12-2021,534.3095
03-12-2021,525.1532
02-12-2021,524.1904
01-12-2021,521.2881
30-11-2021,522.4443
29-11-2021,542.477
26-11-2021,539.9278
24-11-2021,581.0096
23-11-2021,580.4677
22-11-2021,571.349
19-11-2021,567.1327
18-11-2021,575.031
17-11-2021,572.2771
16-11-2021,580.3606
15-11-2021,579.9447
12-11-2021,579.6247
11-11-2021,582.5661
10-11-2021,579.2058
09-11-2021,586.55
08-11-2021,582.5578
05-11-2021,580.2639
04-11-2021,573.6166
03-11-2021,580.7203
02-11-2021,592.9539
01-11-2021,592.3791
29-10-2021,588.2094
28-10-2021,589.197
27-10-2021,590.0025
26-10-2021,598.0691
25-10-2021,596.5162
22-10-2021,590.0573
21-10-2021,585.8267
20-10-2021,595.7764
19-10-2021,589.8844
18-10-2021,588.4052
15-10-2021,591.7259
14-10-2021,585.9167
13-10-2021,579.1984
12-10-2021,579.4936
11-10-2021,581.2325
08-10-2021,576.8771
07-10-2021,573.8552
06-10-2021,569.1565
05-10-2021,579.2819
04-10-2021,571.1619
01-10-2021,561.9096
30-09-2021,557.7057
29-09-2021,554.5149
28-09-2021,557.6063
27-09-2021,558.6856
24-09-2021,549.7233
23-09-2021,546.0133
22-09-2021,539.3099
21-09-2021,529.1028
20-09-2021,529.5544
17-09-2021,538.8525
16-09-2021,542.5764
15-09-2021,545.0128
14-09-2021,533.9191
13-09-2021,533.3844
10-09-2021,531.425
09-09-2021,525.0984
08-09-2021,528.8367
07-09-2021,525.0964
03-09-2021,531.873
02-09-2021,532.6442
01-09-2021,526.0872
31-08-2021,527.3677
30-08-2021,529.6991
27-08-2021,529.0991
26-08-2021,521.5875
25-08-2021,524.3253
24-08-2021,520.1049
23-08-2021,510.6497
20-08-2021,494.4293
19-08-2021,500.3995
18-08-2021,511.293
17-08-2021,515.4307
16-08-2021,520.5232
13-08-2021,524.7447
12-08-2021,525.8677
11-08-2021,525.0765
10-08-2021,521.3305
09-08-2021,512.5285
06-08-2021,522.3383
05-08-2021,526.0445
04-08-2021,521.9046
03-08-2021,530.1506
02-08-2021,533.4548
30-07-2021,541.129
29-07-2021,543.3373
28-07-2021,535.578
27-07-2021,532.9226
26-07-2021,535.328
23-07-2021,532.4833
22-07-2021,531.6857
21-07-2021,525.4422
20-07-2021,512.6292
19-07-2021,506.5087
16-07-2021,528.1744
15-07-2021,527.3395
14-07-2021,531.4316
13-07-2021,536.7168
12-07-2021,531.7516
09-07-2021,531.7583
08-07-2021,524.9629
07-07-2021,523.8384
06-07-2021,528.8321
02-07-2021,541.4566
01-07-2021,540.526
30-06-2021,535.9755
29-06-2021,530.0295
28-06-2021,528.864
25-06-2021,529.9653
24-06-2021,528.6345
23-06-2021,528.3458
22-06-2021,525.3463
21-06-2021,525.5229
18-06-2021,520.0316
17-06-2021,515.5054
16-06-2021,529.9811
15-06-2021,529.6808
14-06-2021,529.5258
11-06-2021,532.0251
10-06-2021,532.6156
09-06-2021,531.9155
08-06-2021,532.7406
07-06-2021,529.6497
04-06-2021,533.7398
03-06-2021,527.0365
02-06-2021,531.2296
01-06-2021,528.0827
28-05-2021,519.2278
27-05-2021,521.1157
26-05-2021,513.8967
25-05-2021,512.5144
24-05-2021,514.2501
21-05-2021,506.4006
20-05-2021,502.4294
19-05-2021,507.4453
